sample_id	cluster	cuproptosis	disulfidptosis	ferroptosis
TCGA-H8-A6C1-01A-11R-A32O-07	C1	-0.0320318490004553	-0.269071467163487	-0.100782764152031
TCGA-HV-A5A3-01A-11R-A26U-07	C1	-1.38678082454611	-0.574633092362399	-0.682848356722203
TCGA-HV-A5A4-01A-11R-A26U-07	C1	-0.319362752614345	-0.493587101316333	-0.522436692436058
TCGA-HV-A5A5-01A-11R-A26U-07	C3	-0.345147259752865	-0.359377358289417	-0.170962233891483
TCGA-HV-A5A6-01A-11R-A26U-07	C1	-0.197016171928006	0.147238667708195	-0.360249200864412
TCGA-HV-A7OL-01A-11R-A33R-07	C1	-0.731720940057403	-0.696765332335734	-0.367015593179847
TCGA-HV-A7OP-01A-11R-A33R-07	C1	-2.14045411723489	-1.82686570487148	-1.12147436910371
TCGA-HV-AA8V-01A-11R-A41B-07	C1	-0.157805512176807	-0.062701799655606	-0.015332325575275
TCGA-HV-AA8X-01A-11R-A39D-07	C1	0.529608727110319	0.397410408059358	0.412583953158463
TCGA-HZ-7289-01A-11R-2156-07	C1	-0.838075122328129	0.105498850919122	0.115189577664526
TCGA-HZ-7918-01A-11R-2156-07	C3	0.742013292372911	0.648367407903709	0.436850945719798
TCGA-HZ-7919-01A-11R-2156-07	C3	0.505097324340602	1.10389507815115	0.448406685342442
TCGA-HZ-7920-01A-11R-2204-07	C3	1.47582050462133	0.740782784583781	0.662846691340817
TCGA-HZ-7922-01A-11R-2156-07	C3	0.256134167158168	0.925095852425752	0.177929667235369
TCGA-HZ-7923-01A-12R-2156-07	C2	1.04914615677227	0.715321796128749	0.961919424888328
TCGA-HZ-7924-01A-11R-2156-07	C3	2.15971785551432	1.60374226173975	1.59233655563726
TCGA-HZ-7925-01A-11R-2156-07	C3	1.10813661750927	1.0095659991359	0.579486675132137
TCGA-HZ-7926-01A-11R-2156-07	C3	1.14878356590838	1.39425792267434	1.12484381340175
