sample_id	cluster	subtype_label	MCD_overall_score	ferroptosis	cuproptosis	disulfidptosis
TCGA-HV-A7OP-01A-11R-A33R-07	C1	MCD-intermediate	-1.69626473040336	-1.12147436910371	-2.14045411723489	-1.82686570487148
TCGA-HV-AA8V-01A-11R-A41B-07	C1	MCD-intermediate	-0.0786132124692293	-0.015332325575275	-0.157805512176807	-0.062701799655606
TCGA-HV-AA8X-01A-11R-A39D-07	C1	MCD-intermediate	0.446534362776047	0.412583953158463	0.529608727110319	0.397410408059358
TCGA-HZ-7289-01A-11R-2156-07	C1	MCD-intermediate	-0.205795564581494	0.115189577664526	-0.838075122328129	0.105498850919122
TCGA-HZ-7918-01A-11R-2156-07	C3	MCD-high	0.609077215332139	0.436850945719798	0.742013292372911	0.648367407903709
TCGA-HZ-7919-01A-11R-2156-07	C3	MCD-high	0.685799695944731	0.448406685342442	0.505097324340602	1.10389507815115
TCGA-HZ-7920-01A-11R-2204-07	C3	MCD-high	0.959816660181976	0.662846691340817	1.47582050462133	0.740782784583781
TCGA-HZ-7922-01A-11R-2156-07	C3	MCD-high	0.453053228939763	0.177929667235369	0.256134167158168	0.925095852425752
TCGA-HZ-7923-01A-12R-2156-07	C2	MCD-low	0.908795792596449	0.961919424888328	1.04914615677227	0.715321796128749
TCGA-HZ-7924-01A-11R-2156-07	C3	MCD-high	1.78526555763044	1.59233655563726	2.15971785551432	1.60374226173975
TCGA-HZ-7925-01A-11R-2156-07	C3	MCD-high	0.899063097259102	0.579486675132137	1.10813661750927	1.0095659991359
TCGA-HZ-7926-01A-11R-2156-07	C3	MCD-high	1.22262843399482	1.12484381340175	1.14878356590838	1.39425792267434
TCGA-HZ-8001-01A-11R-2204-07	C1	MCD-intermediate	0.52716808201842	0.490840853425886	0.752335197488081	0.338328195141292
TCGA-HZ-8002-01A-11R-2204-07	C3	MCD-high	0.710710370760337	0.465265567019542	1.11526188993453	0.551603655326939
TCGA-HZ-8003-01A-21R-2204-07	C3	MCD-high	-0.070772557009559	-0.276408932821311	0.238280193842849	-0.174188932050215
TCGA-HZ-8005-01A-11R-2204-07	C1	MCD-intermediate	0.337762329274257	0.224795763983625	0.10868543606862	0.679805787770526
TCGA-HZ-8315-01A-11R-2404-07	C3	MCD-high	0.727232077801799	0.480274832632285	0.984085958665879	0.717335442107234
TCGA-HZ-8317-01A-11R-2404-07	C3	MCD-high	0.272617774633301	0.0717301863986804	0.463123641027333	0.282999496473891
TCGA-HZ-8519-01A-11R-2404-07	C3	MCD-high	1.47814618563451	1.32668310073983	1.86288454464045	1.24487091152325
TCGA-HZ-8636-01A-21R-2404-07	C3	MCD-high	1.01006541063832	0.739826660006482	1.09476785053257	1.19560172137591
TCGA-HZ-8637-01A-11R-2404-07	C1	MCD-intermediate	1.46651806774336	1.44132098125915	2.00165055659153	0.956582665379392
TCGA-HZ-8638-01A-11R-2404-07	C3	MCD-high	1.38182708200076	1.12924759599656	1.80705849768126	1.20917515232447
TCGA-HZ-A49G-01A-11R-A26U-07	C3	MCD-high	-0.373563785730543	-0.425039080257922	-0.226974656518819	-0.468677620414889
TCGA-HZ-A49H-01A-11R-A26U-07	C1	MCD-intermediate	-0.308895138402859	-0.250070694418007	-0.214737385751499	-0.461877335039072
TCGA-HZ-A49I-01A-12R-A26U-07	C1	MCD-intermediate	-0.452293604556128	-0.363578963143216	-0.523811325309331	-0.469490525215838
TCGA-HZ-A4BH-01A-11R-A26U-07	C3	MCD-high	-0.0136328348422085	0.0214090603974623	-0.0528456113724609	-0.00946195355162703
TCGA-HZ-A4BK-01A-11R-A26U-07	C1	MCD-intermediate	-0.0831495449363957	0.0181711573307145	-0.0255237683337887	-0.242096023806113
TCGA-HZ-A77O-01A-11R-A33R-07	C1	MCD-intermediate	-0.271619263175306	-0.203414373208568	-0.265882911354289	-0.345560504963061
TCGA-HZ-A77P-01A-11R-A33R-07	C3	MCD-high	0.676183667840097	0.506590031848347	1.0430301902794	0.478930781392545
TCGA-HZ-A77Q-01A-11R-A36G-07	C2	MCD-low	-0.42864012414306	-0.133120419514944	-0.867703500593386	-0.285096452320849
TCGA-HZ-A8P1-01A-11R-A37L-07	C1	MCD-intermediate	-0.506144050599744	-0.614694118760316	-0.340865528901605	-0.562872504137312
TCGA-HZ-A9TJ-01A-11R-A41I-07	C1	MCD-intermediate	0.0298325767396682	-0.00336033306473947	-0.156128674004502	0.248986737288246
TCGA-IB-7644-01A-11R-2156-07	C3	MCD-high	0.91391340693803	0.738300115895979	0.924107377306312	1.0793327276118
TCGA-IB-7645-01A-22R-2204-07	C3	MCD-high	0.54689426184484	0.35087149649212	0.589847644173209	0.699963644869192
TCGA-IB-7646-01A-11R-2156-07	C3	MCD-high	0.119693147502427	0.0126585060731185	0.128574761658927	0.217846174775236
TCGA-IB-7647-01A-11R-2156-07	C3	MCD-high	1.63098331525368	1.44851603911194	1.56437327754643	1.88006062910267
TCGA-IB-7649-01A-11R-2156-07	C3	MCD-high	-0.514837297587814	-0.550245516240317	-0.619251062289549	-0.375015314233577
TCGA-IB-7651-01A-11R-2156-07	C3	MCD-high	1.44998399878549	1.42385424576083	1.36706370215482	1.55903404844082
TCGA-IB-7652-01A-11R-2156-07	C3	MCD-high	1.46011881855883	1.27530413010303	1.45658671178496	1.64846561378851
TCGA-IB-7654-01A-11R-2156-07	C3	MCD-high	0.899538371392368	0.557028722373376	0.950964077601349	1.19062231420238
TCGA-IB-7885-01A-11R-2156-07	C3	MCD-high	0.894186482284886	0.650886676823244	0.858900108551193	1.17277266148022
TCGA-IB-7886-01A-11R-2156-07	C3	MCD-high	0.834344597695031	0.553170161618631	1.01655359221875	0.933310039247712
TCGA-IB-7887-01A-11R-2156-07	C1	MCD-intermediate	0.894590226746344	0.843230181421342	0.854672878509963	0.985867620307727
TCGA-IB-7888-01A-11R-2156-07	C3	MCD-high	-0.0956593859053237	-0.267247831895187	-0.11716594536018	0.097435619539396
TCGA-IB-7889-01A-11R-2156-07	C1	MCD-intermediate	0.646750459916363	0.281220442733726	0.721892585863099	0.937138351152263
TCGA-IB-7890-01A-12R-2204-07	C3	MCD-high	-0.149681667267111	-0.328711778547112	-0.241538485011487	0.121205261757266
TCGA-IB-7891-01A-11R-2204-07	C3	MCD-high	0.463788834714164	0.270424699388743	0.667863174086558	0.453078630667192
TCGA-IB-7893-01A-11R-2204-07	C3	MCD-high	0.755522350143819	0.357973825046262	0.857385236050055	1.05120798933514
TCGA-IB-7897-01A-21R-2204-07	C3	MCD-high	0.720599480249301	0.507264778553384	0.969884521947648	0.68464914024687
TCGA-IB-8126-01A-11R-2404-07	C3	MCD-high	-0.502730938469359	-0.648707825105061	-0.0819983972899614	-0.777486593013055
TCGA-IB-8127-01A-11R-2404-07	C3	MCD-high	1.5486373904835	1.3009109384471	1.71609416887753	1.62890706412588
TCGA-IB-A5SO-01A-11R-A32O-07	C1	MCD-intermediate	0.467609719112311	0.496998982700707	0.355284871992674	0.550545302643552
TCGA-IB-A5SP-01A-11R-A32O-07	C1	MCD-intermediate	0.113120167079027	0.206394956387281	-0.0444625974719919	0.177428142321792
TCGA-IB-A5SQ-01A-11R-A32O-07	C1	MCD-intermediate	0.0283730003806277	0.23229160698338	-0.0902821694703528	-0.056890436371144
