sample_id	aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore	subtype_label
TCGA-IB-A7LX-01A-12R-A36G-07	0.0316440937835861	0.00223650596967484	0.0229036920500382	1.93199612716707e-18	0.0339054681757383	2.85063150670171e-20	0	0	0.0131092692101054	4.24289909030071e-18	3.99577527903988e-19	0.0112579876585763	2.49507858301592e-18	6.94247707637839e-18	0.00130087525576407	0.0387522812644439	0.0147134935791253	0.0312502205629569	1.69181831529948e-19	7.36366760115679e-19	0	0.00677455959782164	0.531635130898541	4.35684154705532e-19	0.053891594718787	1.92075104586835e-18	0	0.0626962151707323	2.8883208989085e-18	0.137518696285701	2.66747627704938e-19	0	0	0	0.0178248696456488	0	1.35632427962887e-19	1.3371233240329e-18	2.76852677090699e-19	0.00175381035948871	1.39496730392534e-18	0	0.209654763022348	5.80315692073979e-19	0.0161895281160467	0	0.000338301831904082	0	4.46845564892874e-18	0.0475138950907441	0	1.74642447525029e-18	0.0651515510960386	0	2.83037528236152e-19	0	4.30688313091485e-18	0.0337084821071686	3.84498551727658e-18	0.0255543834677032	1.6326218553209e-17	0.0581800137959404	0.0396968681765616	3.32619595233165e-19	0.0239049446013645	0.0280640503442309	0.0519689949455954	MCD-intermediate
TCGA-IB-A7M4-01A-11R-A36G-07	0.204733906978299	0.00133974572835071	0.00956505609627794	0.0541598672026322	5.86948893381925e-18	0.0156842924435865	0.00200500985526224	4.26926568627572e-19	0.00378019895486742	0	0.020587159043238	0.00682861289770771	0.0133048633732469	0	0.03214209611055	0.013960363048303	0.0347930949325372	0.059988546249353	0	0.014676895123331	0	0	0.53095825625766	0	0.0473490596971817	6.10347383851e-19	0	0.0404714506164603	0.176955162181262	0.165011383551943	2.52600483123879e-18	0.0140428640157091	0.0149851779427454	0.00523669313164912	0.00906272598755188	6.03352919737236e-05	0	0.00948955266124434	0.0628465011743717	3.75319123450545e-19	2.19855775466993e-21	1.72894889292333e-18	0.328778638070575	7.4795411918206e-18	0.000905033561506795	0	2.06094109798939e-21	0	3.9386427021902e-18	0.026453988741606	0	9.50514827116344e-20	0.0104458141147056	0.00537017516192108	2.87834069527609e-19	2.08312302286424e-18	0.0168633125226785	0.0481368723889508	2.74648352600649e-18	0.0196844734419565	2.52571997990484e-18	0.156434994956381	0.067475738877186	1.69530026035661e-18	0.0658473101512879	0.0243444027127662	0.0901917128640541	MCD-intermediate
TCGA-IB-AAUM-01A-11R-A37L-07	0.228735522398717	3.15297307821109e-19	0	0.00753250342251035	0.0491826032514949	2.9472126039359e-19	0.000972453725538807	2.5209859456764e-18	0.0414941604493631	3.08566572073713e-19	0.000470639947821806	0.00748474436507921	4.76963307998351e-19	9.3578078705528e-18	0.0148571623288172	0.032794933998521	0.0100861303102195	0.00956201171418747	0.00102501206031848	0.00583555586711476	0.0137030035214956	0.00948657858287682	0.273425156403411	0	0.0929697868163918	0.0197120903801595	0.0131223866577202	0.203579442312157	0.0193296897423598	0.0168781429740874	0.00238151981536986	0.00763816106406234	0.0105410775474685	0.00832592218969648	0.0194446090172259	0.00213067643648515	0.00273748665154697	2.38637912014639e-18	0	0	0	0	0.502018822074698	0.00327296211379056	0.00456627845608143	0	0.00626463479968725	0	1.01284397099272e-17	0.00460456352897417	0	0	0.0417586407443204	0.0187584056045878	0	1.64042088093288e-17	0	0.012078971728388	0	4.52761326087879e-18	4.72209922489336e-19	0.00877996384385425	6.16406685878514e-18	0.00318120280800339	0.0382814348792463	0.0533363951689437	0.0916178300481899	MCD-high
TCGA-IB-AAUN-01A-12R-A38C-07	0.115790199102915	2.05743036298216e-20	0.0158383700542035	3.3589984253318e-19	0.00948968898428539	0	7.179362287748e-19	1.32585884549011e-18	2.16617652465164e-18	7.99461026698926e-18	0	1.69799077216385e-19	0	6.25481265812833e-18	0.0135492106001122	2.82153853900698e-19	0	0.0375790718237992	0	0	0.000495546180711179	5.09258467664058e-21	0.469584290751839	0.000242698964385816	3.49659143878304e-18	0.0102148040330752	0	0.154004731368206	0.0329299132203096	0.0754188068428125	5.22419893429032e-20	0.00610181591512826	0.0106820092290342	0.00172584063544722	0.00244625025666846	0.00138068757025118	0	0	0.000118849920169454	0.00676783630914651	0	0	0.594991399604175	0	0	2.52912396395337e-18	0.00150466437676453	0.00110831193621308	1.2640686493378e-18	0.0312862779408442	0	0	0.0708652477713041	0	0	0	0	0.0178986525702863	1.42864776526378e-18	0	4.6404860125275e-19	0.0416673924677218	0.0848507300771245	0	0.00643758540533987	0.000247773090355591	0.00668535849569546	MCD-intermediate
TCGA-IB-AAUO-01A-12R-A38C-07	0.148161300713628	0	0.0484321405107002	0.00167373086472851	0	0	0	1.52921367302664e-19	0.0398667244164748	0	0.000779286214070918	3.6411779469689e-19	1.09668394646834e-20	0	0.0514514677579257	0	0.0233291941961449	0.0521648795177398	0	0.00383076316180327	1.89104983560247e-19	0.00376238259111671	0.540406916764496	0	4.98094747401348e-19	1.28444610799672e-17	1.52540457681792e-18	0.0449285615903851	4.96084617989881e-18	0.150676295795203	3.49484254619732e-19	0.0132230369961837	0.00743053721161203	0.00404553477317688	0.0046151944611971	5.04038582051708e-20	0	8.80917190699915e-18	0.017982438123493	0.0175536027769744	0.00169232623237739	0	0.319896029949098	8.22382336593982e-18	0	2.30561410325957e-18	0	0	0	0.127014151213885	2.72507882327293e-19	1.1344741285926e-19	3.80122120634692e-19	0.0189085991258165	0	6.89361124825736e-18	0	0.0547768301414353	7.03455756879555e-18	4.08582214163729e-18	4.25678432808682e-18	0.110566252817623	0.0327466836923274	1.34832577329412e-17	0.0191982895382711	3.43599865480798e-19	0.0191982895382711	MCD-intermediate
TCGA-IB-AAUP-01A-11R-A37L-07	0.322294481393649	0	0.126985995456921	0.785982139077241	1.97647661287342e-18	0.0505546753300997	0.182076277808639	0.0117662574791014	0	2.45763863455183e-17	4.78765600003541e-20	0.0473946184218746	0.0381051370015645	0.00402144751392274	0.105762311566702	0.0782775665300873	0.192000809043654	0.00971880952333524	0.000234246921537447	0.0233214424999803	0.0147234937522905	9.08341816756106e-05	0.241474387382326	1.8681169676617e-19	0.239751911474019	0.0230573973846677	0.00266431671864395	0.150031113136344	0.173929440804949	0.0303091306498811	0.00130058478427427	0.0300401053398747	0.0273063141225192	0.0306734151570699	0.0302569022310663	0.00293462192437767	0.00691001680858886	0.303218093540314	0	0.000921858894208357	0.0110177617202155	7.88654152213559e-18	0.20141384182963	0.00914832691470605	1.63976218676194e-18	0.117722828761339	0.000828458708926023	1.08260712219395e-19	1.01936511717496e-17	0.0454529404964359	1.53011204959976e-17	0.00359940525282255	0.180546168989709	8.63602551665478e-19	0.00870035291221733	0.00996137001336314	0.122318598410522	0.00883245314928025	6.72062908498977e-20	1.53887505059496e-17	0	0.0131185884262007	0.0194809516102037	0	0.62658004063402	0.127237702613155	0.753817743247175	MCD-low
TCGA-IB-AAUQ-01A-22R-A41I-07	0.102215011188986	0	0.130724868359001	0	6.88074664480772e-19	0	0	0	0	0	1.83041372520093e-19	1.5782371535171e-19	4.34166232318198e-19	0	0.0084465237797425	0.102573948531482	0.00480699456791609	0.0173319321003514	0.00696893354761547	6.47665937126656e-21	0.0300416142403691	0.00810996155501246	0.446654887036711	0	0.206228966098999	0.00851598187648203	0.00516358646749956	0.146779549751431	0.028829678229237	0.11403609897412	0.00457326768545716	0.0136949468522736	0.0188958070430395	0.00792442780033417	0.00438399619179176	1.25690245160387e-21	0.00766136765087114	1.1797690717833e-17	0.00517317761202362	0.0344851729125146	7.29535551997184e-21	0	0.201742102061929	0.0161503784527063	2.81915344529624e-19	0	0.0101614766034096	0	7.76948791774296e-18	0.0280203917964437	1.29906660711967e-18	0	0.218848954093747	0.00207192858913191	0	2.48589955661443e-18	0	0.0345590337310493	0.000854065981746624	0.0198304201901253	0	0.0532208757730462	0.00829966517026942	0	0.0174592697327186	0.118135290169684	0.135594559902402	MCD-intermediate
TCGA-IB-AAUR-01A-21R-A38C-07	0.408414993525047	0.0157403697500566	0.0684995177568624	0.804399681345397	0.04316079743163	0.036828856494288	0.19327056279969	0.00142291106782	0.0149842467482905	6.68589335167428e-18	0.0137451586272468	0.110411513999259	0.0430974979950692	0.00958972086550004	0.218912777977911	0.0811816480537496	0.212049868330408	0.00524167832104751	0.0127501741232841	0.0493887189568761	0.101767908861139	0.0096647071913462	0.199305321977271	0	0.324554960908349	0.0247491322721025	0.00668361934952129	0.280144970887395	0.305117230825393	0.0220469489470994	0.0430837833320173	0.0117661469865533	0.00784912339014043	0.0359520374719318	0.0312816158585525	0.00750646208465563	0.00606653854856803	0.314771947722813	0.00472902595617794	0.0202950598004962	0.021647442350427	4.17516467478962e-18	0.10742053931646	0.0689155997808441	0.0107573905671032	0.133006726091461	0.00214675650877237	1.36464416091534e-19	2.05299433436057e-18	0.124773214782625	0	0	0.241231182251077	0	6.36607912381453e-20	0.146159677219748	0.115244623675798	0.00642639143233901	0	0	8.00577550090985e-18	0.00513471612802537	0.0156031393824309	0	0.693321825170821	0.221031619759772	0.914353444930593	MCD-low
TCGA-IB-AAUS-01A-12R-A38C-07	0.339826774537835	1.39085455775512e-19	0.0801236096908021	0.0363903423119838	0.0414685164231601	0	0.0163686717019731	0	2.08234099572707e-19	1.14288379440027e-20	0.00244350856757063	0.0181613700302349	0.00337932622972857	6.04077176103756e-18	0.095471783656989	0.0732580282066022	0.0214073368383311	0.0120100527501983	0.0101749852709354	0.0468685208418574	0.1061238176553	0.00138909745044827	0.22965430155348	3.96244385311555e-22	0.312355341282574	0.0283074452672209	0.00435956125818203	0.220745692453349	0.295015762947737	0.0274179601030903	0.0454251238606454	0.17499518602063	0.0591203546916483	0.197139837866487	0.0246030682331679	0.00367394653252218	0.0212612110803884	9.41366282394005e-19	2.3725922523469e-19	0	0.130212191051899	3.59786247771807e-18	0.534389254945184	0.060375775430615	0	0	0.000396443578904133	0.000654390293890726	0	0.0812380189157767	1.24763212338476e-18	0	0.166704472538844	0	0	0.0231823618227602	1.60457123687843e-18	0.00855378886029897	1.12902365967841e-19	8.42721217458041e-18	9.75703236840936e-18	0.0346557958127416	0.0146480424407869	0.044327644720902	0.288849444156075	0.209239579468937	0.498089023625011	MCD-intermediate
TCGA-IB-AAUT-01A-11R-A37L-07	0.206381559697162	1.75660847489225e-18	0.0718195460431141	0	0.0357814385366944	0	0.029991819680558	0	0.0109089544781217	2.51995252688519e-18	0.00401065315582268	0.0285481966326215	0.00992190968332035	0	0.0493310339245857	0.0436963766294372	0.0282411987718134	0.00259229442712252	0	0.00535090868847401	0.0421828761462608	0.0121593462190299	0.275194180983014	0	0.0901461692890318	0.00718914994514087	0.0120313771248705	0.282397536320151	0.050307864707872	0.0167403818453106	0.0161948496343243	0.0655179998575658	0.0341793383666474	0.0509238859742442	0.00271840175500034	0.00122338793314726	0.00808789682494314	4.57185195084166e-18	2.8221543248935e-18	0.0417621128610916	0	0	0.491786125737018	0.0278544831310931	7.20405640326205e-20	0	0.00584851573909107	0	0	0.0261320291705543	8.26013169071057e-19	2.06805647109786e-19	0.117812948360831	0	1.56338561910135e-18	5.72635026947176e-18	1.80789632210349e-18	0.00879547758965339	0	6.52589594295044e-18	7.44140428920747e-20	0.00627268740802883	0	0	0.076196568768461	0.0661645227176463	0.142361091486107	MCD-intermediate
TCGA-IB-AAUU-01A-11R-A37L-07	0.154618919196552	6.3310656431444e-21	2.2238021670867e-18	0	0.0326051143830038	2.67604746502475e-20	0	1.77462823075971e-18	0	0.00399590510251801	0	9.06389666795173e-19	0	0	0.025366580112763	0.0370704260783871	0.00570085078292323	0.026856621829193	0.00125036203734747	0.00681349465721653	4.60908594769126e-18	0.0106289084415367	0.524943984992071	0	0.00549155746850492	0.00222445746692814	0.00369018594818859	0.0830539019864064	0.0672726441071066	0.0650446387367351	2.28720744115353e-18	0.0350810130894094	0.0219270859509775	0.00900138512962448	0.00362049572894019	0.000638334138829639	0.0067329590327142	0	1.06196106073418e-18	0.0156546345715856	0.0415081551574308	0	0.335731899397718	0	0	0	0.00198993222139956	1.42051232802829e-19	7.16160917624885e-18	0.0600269425569875	2.26795248133575e-18	3.44465724061593e-18	0.0381502489799055	0.0020163446407918	5.08172201529837e-19	0	1.38534170605859e-18	0.021510438525027	0	0	4.98113492529942e-18	0.0169198750180844	0.0247647736205092	0.014986314902678	0.0651013780496891	0.00274577873425246	0.0678471567839416	MCD-intermediate
TCGA-IB-AAUV-01A-11R-A38C-07	0.255761940280875	4.46648899281511e-20	0.198196738126786	0.124088995210321	0	0	0.0369870244455284	0	0	0	0.0134553876991108	0.0518645745837642	0.0189682010537033	5.55476952739774e-19	0.0568816095547016	0.160505882911027	0.0989633184855903	0.00582487013887975	0.00519671412980763	0.00795852417212588	0.0759805278179136	0.0108959003726982	0.0283164866844005	0	0.524008642528377	0.032304704372779	0.00251011809876472	0.237847926927455	4.7480043138154e-18	4.29633189413183e-20	0.021556149896534	0.0707044498631455	0.0321363157996043	0.086229401592067	0.0287867807023683	0.0031379162058621	0.0139483877340515	0.0100729280839647	0	0.0126368000459963	0.0393643786180217	1.55245533267613e-18	0.41781214981066	0.0328137726358443	0	1.13835790900737e-18	0.0102197208973723	5.59406117797788e-19	2.94319831001919e-18	0.0609367087919232	6.67066604579985e-18	3.28789996320018e-18	0.202435192364994	2.6931777068958e-20	7.67977533143051e-05	0.0154022431766808	0	1.95636564501743e-20	0.00814039524024634	0.0669216451097662	2.33099703606246e-18	0	0.0377497343107915	0	0.222442402348296	0.299994585173145	0.522436987521442	MCD-intermediate
TCGA-IB-AAUW-01A-12R-A38C-07	0.196133959412472	0.010642137925405	0.00231817311924218	0.000962277175112503	0	0	1.20677076595428e-19	0	0	0	0.00123488813566969	0.0154382147837443	0	7.49800144672446e-19	0.0540810834830343	0.0813085308480482	0.0348064859623776	0.000542072810162912	0.00196304098450765	0.00724399118697653	0.0587776127796747	0.00518523979491657	0.298505630959189	0	0.200802285707366	0.0198170443611091	0.0168379184337252	0.337351026653918	0.0613024455006998	0.021056657071729	0.0153246452894712	0.0094132984367819	0.0154320880428426	0.0135760669899735	0.00699161717759167	0.00821109958769097	0.00396190256933327	1.35454495659876e-18	2.34265606540584e-18	0.0318683955520819	0.000318285032333586	0	0.205789949757704	0.0230856980586055	0.0142385317746765	9.48540920973581e-19	0.0100086496564266	0.00133218945412055	0	0.0168851943272213	0	0	0.0156834726646688	0	0	0.0498116005298275	0	0.00811269739229888	0.00630124541179633	0.0362661007348453	0	0	8.1102713479586e-19	0	0.0312567420277184	0.135111018206223	0.166367760233941	MCD-high
