sample_id	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	subtype_label
TCGA-2J-AAB1-01A-11R-A41B-07	230.744994526669	439.186035979492	669.931030506162	0.762695741691947	MCD-intermediate
TCGA-2J-AAB4-01A-12R-A41B-07	43.9323218928693	459.926940745156	503.859262638025	0.778233843433437	MCD-intermediate
TCGA-2J-AAB6-01A-11R-A41B-07	539.902002482401	109.382622108103	649.284624590504	0.764652333418667	MCD-intermediate
TCGA-2J-AAB8-01A-12R-A41B-07	820.079735016215	-2.42605442024038	817.653680595974	0.748493269808417	MCD-low
TCGA-2J-AAB9-01A-11R-A41B-07	666.649332944932	334.71934590442	1001.36867884935	0.73034017610197	MCD-low
TCGA-2J-AABA-01A-21R-A41B-07	585.62076501999	-29.3435860520393	556.277178967951	0.773379003071639	MCD-low
TCGA-2J-AABE-01A-12R-A41B-07	627.495512187955	378.38875324254	1005.8842654305	0.729887243470071	MCD-low
TCGA-2J-AABF-01A-31R-A41B-07	746.564682874852	1047.00912359673	1793.57380647158	0.646153189399294	MCD-intermediate
TCGA-2J-AABH-01A-21R-A41B-07	10.4044470984017	108.233954550062	118.638401648464	0.812480496927585	MCD-intermediate
TCGA-2J-AABI-01A-12R-A41B-07	59.9099736527735	557.817171077652	617.727144730426	0.767629354176631	MCD-intermediate
TCGA-2J-AABK-01A-31R-A41B-07	-891.696361444558	-312.525938345062	-1204.22229978962	0.909705784064814	MCD-intermediate
TCGA-2J-AABO-01A-21R-A41B-07	412.251064628411	-170.742470363363	241.508594265049	0.801834191848948	MCD-low
TCGA-2J-AABP-01A-11R-A41B-07	1442.00519486012	1398.08558354223	2840.09077840235	0.52176341994666	MCD-intermediate
TCGA-2J-AABR-01A-11R-A41B-07	726.647365056911	1015.30131552135	1741.94868057826	0.651918146341113	MCD-low
TCGA-2J-AABT-01A-11R-A41B-07	951.344275280334	768.29336919819	1719.63764447852	0.654398044370927	MCD-high
TCGA-2J-AABU-01A-11R-A41B-07	352.879482848556	43.6977405730007	396.577223421556	0.78802613126418	MCD-low
TCGA-2J-AABV-01A-12R-A41B-07	-360.946747992859	-9.03287606684043	-369.979624059699	0.852169690545764	MCD-low
TCGA-2L-AAQA-01A-21R-A38C-07	-204.045515427121	-330.562828785772	-534.608344212893	0.864564667293226	MCD-intermediate
