trait	uri	shortForm	trait_label_guess	trait_id_guess
"PPP1R9B/TDRKH protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053461"	"OBA_2053461"	"PPP1R9B/TDRKH protein level ratio in blood"	"OBA_2053461"
"PRCP/SELE protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053462"	"OBA_2053462"	"PRCP/SELE protein level ratio in blood"	"OBA_2053462"
"PRDX3/SPRY2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053463"	"OBA_2053463"	"PRDX3/SPRY2 protein level ratio in blood"	"OBA_2053463"
"PRKAR1A/SNAP23 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053464"	"OBA_2053464"	"PRKAR1A/SNAP23 protein level ratio in blood"	"OBA_2053464"
"PRKRA/PSRC1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053465"	"OBA_2053465"	"PRKRA/PSRC1 protein level ratio in blood"	"OBA_2053465"
"PRTFDC1/STK24 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053466"	"OBA_2053466"	"PRTFDC1/STK24 protein level ratio in blood"	"OBA_2053466"
"PRTFDC1/TARBP2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053467"	"OBA_2053467"	"PRTFDC1/TARBP2 protein level ratio in blood"	"OBA_2053467"
"AXIN1/BACH1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053468"	"OBA_2053468"	"AXIN1/BACH1 protein level ratio in blood"	"OBA_2053468"
"AXIN1/BANK1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053469"	"OBA_2053469"	"AXIN1/BANK1 protein level ratio in blood"	"OBA_2053469"
"AXIN1/CALCOCO1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053470"	"OBA_2053470"	"AXIN1/CALCOCO1 protein level ratio in blood"	"OBA_2053470"
"AXIN1/CDKN1A protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053471"	"OBA_2053471"	"AXIN1/CDKN1A protein level ratio in blood"	"OBA_2053471"
"AXIN1/CLIP2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053472"	"OBA_2053472"	"AXIN1/CLIP2 protein level ratio in blood"	"OBA_2053472"
"AXIN1/DAPP1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053473"	"OBA_2053473"	"AXIN1/DAPP1 protein level ratio in blood"	"OBA_2053473"
"AXIN1/DOK2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053474"	"OBA_2053474"	"AXIN1/DOK2 protein level ratio in blood"	"OBA_2053474"
"PPP1R12A/TXNDC5 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053500"	"OBA_2053500"	"PPP1R12A/TXNDC5 protein level ratio in blood"	"OBA_2053500"
"PPP1R12A/VEGFC protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053501"	"OBA_2053501"	"PPP1R12A/VEGFC protein level ratio in blood"	"OBA_2053501"
"PPP1R12A/VTA1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053502"	"OBA_2053502"	"PPP1R12A/VTA1 protein level ratio in blood"	"OBA_2053502"
"PPP1R2/SNAP23 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053503"	"OBA_2053503"	"PPP1R2/SNAP23 protein level ratio in blood"	"OBA_2053503"
"PPP1R2/STK4 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053504"	"OBA_2053504"	"PPP1R2/STK4 protein level ratio in blood"	"OBA_2053504"
"PPP1R2/TACC3 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053505"	"OBA_2053505"	"PPP1R2/TACC3 protein level ratio in blood"	"OBA_2053505"
"PPP1R2/TBL1X protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053506"	"OBA_2053506"	"PPP1R2/TBL1X protein level ratio in blood"	"OBA_2053506"
"PPP1R2/TMSB10 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053507"	"OBA_2053507"	"PPP1R2/TMSB10 protein level ratio in blood"	"OBA_2053507"
"PPP1R2/TYMP protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053508"	"OBA_2053508"	"PPP1R2/TYMP protein level ratio in blood"	"OBA_2053508"
"PPP1R2/USP8 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053509"	"OBA_2053509"	"PPP1R2/USP8 protein level ratio in blood"	"OBA_2053509"
"PLAUR/PRSS8 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053511"	"OBA_2053511"	"PLAUR/PRSS8 protein level ratio in blood"	"OBA_2053511"
"PLAUR/TREM2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053512"	"OBA_2053512"	"PLAUR/TREM2 protein level ratio in blood"	"OBA_2053512"
"PLIN1/SNCG protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053513"	"OBA_2053513"	"PLIN1/SNCG protein level ratio in blood"	"OBA_2053513"
"PLIN3/TYMP protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053514"	"OBA_2053514"	"PLIN3/TYMP protein level ratio in blood"	"OBA_2053514"
"PLIN3/VSIR protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053515"	"OBA_2053515"	"PLIN3/VSIR protein level ratio in blood"	"OBA_2053515"
"PLPBP/RWDD1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053516"	"OBA_2053516"	"PLPBP/RWDD1 protein level ratio in blood"	"OBA_2053516"
"PLPBP/SERPINB1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053517"	"OBA_2053517"	"PLPBP/SERPINB1 protein level ratio in blood"	"OBA_2053517"
"PLPBP/SNAP23 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053518"	"OBA_2053518"	"PLPBP/SNAP23 protein level ratio in blood"	"OBA_2053518"
"PLPBP/SNX9 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053519"	"OBA_2053519"	"PLPBP/SNX9 protein level ratio in blood"	"OBA_2053519"
"PLPBP/STIP1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053520"	"OBA_2053520"	"PLPBP/STIP1 protein level ratio in blood"	"OBA_2053520"
"PLXNA4/SKAP2 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053521"	"OBA_2053521"	"PLXNA4/SKAP2 protein level ratio in blood"	"OBA_2053521"
"PLXNA4/SNAP29 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053522"	"OBA_2053522"	"PLXNA4/SNAP29 protein level ratio in blood"	"OBA_2053522"
"B4GALT1/IFNGR1 protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053548"	"OBA_2053548"	"B4GALT1/IFNGR1 protein level ratio in blood"	"OBA_2053548"
"B4GALT1/IL10RB protein level ratio in blood"	"http://purl.obolibrary.org/obo/OBA_2053549"	"OBA_2053549"	"B4GALT1/IL10RB protein level ratio in blood"	"OBA_2053549"
