initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90434467"	"FALSE"	NA	"Ribonuclease pancreatic levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90434467"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Ribonuclease pancreatic levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Ribonuclease pancreatic levels | ribonuclease pancreatic measurement | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90434713"	"FALSE"	NA	"Serine protease inhibitor Kazal-type 1 levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"EFO_0020956"	"pancreatic secretory trypsin inhibitor protein measurement"	"GCST90434713"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Serine protease inhibitor Kazal-type 1 levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Serine protease inhibitor Kazal-type 1 levels | pancreatic secretory trypsin inhibitor protein measurement | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
"46,327 European ancestry individuals"	"FALSE"	"FALSE"	"617073"	"FALSE"	"FALSE"	"GCST90435130"	"FALSE"	NA	"Pancreatic lipase-related protein 2 levels"	"NA"	"37794183"	"2023-10-04"	"Nature"	"Rare variant associations with plasma protein levels in the UK Biobank."	NA	"UKB-PPP"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90435130"	"Rare variant associations with plasma protein levels in the UK Biobank."	"Dhindsa RS"	"37794183"	"Pancreatic lipase-related protein 2 levels"	"46,327 European ancestry individuals"	NA	"Rare variant associations with plasma protein levels in the UK Biobank. | Pancreatic lipase-related protein 2 levels | level of pancreatic lipase-related protein 2 in blood serum | Dhindsa RS | 46,327 European ancestry individuals | "	0	2	0	1	3	TRUE
"338 European ancestry individuals"	NA	"FALSE"	"10904148"	"TRUE"	NA	"GCST90435438"	"TRUE"	NA	"Intraductal papillary mucinous neoplasm"	"NA"	"39639588"	"2024-12-05"	"Cancer"	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy."	NA	"NR"	"Infinium Global Screening Array-24 v3.0 BeadChip"	"MONDO_0004286"	"pancreatic intraductal papillary-mucinous neoplasm"	"GCST90435438"	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy."	"Gentiluomo M"	"39639588"	"Intraductal papillary mucinous neoplasm"	"338 European ancestry individuals"	NA	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy. | Intraductal papillary mucinous neoplasm | pancreatic intraductal papillary-mucinous neoplasm | Gentiluomo M | 338 European ancestry individuals | "	0	2	0	1	3	TRUE
"47,745 European ancestry individuals"	"FALSE"	"FALSE"	"13308244"	"TRUE"	"TRUE"	"GCST90469382"	"TRUE"	NA	"GP2 protein levels"	"NA"	"39789286"	"2025-01-09"	"Nat Genet"	"A scalable variational inference approach for increased mixed-model association power."	NA	"UKB"	NA	"OBA_2051450"	"level of pancreatic secretory granule membrane major glycoprotein GP2 in blood"	"GCST90469382"	"A scalable variational inference approach for increased mixed-model association power."	"Loya H"	"39789286"	"GP2 protein levels"	"47,745 European ancestry individuals"	NA	"A scalable variational inference approach for increased mixed-model association power. | GP2 protein levels | level of pancreatic secretory granule membrane major glycoprotein GP2 in blood | Loya H | 47,745 European ancestry individuals | "	0	2	0	1	3	TRUE
"47,745 European ancestry individuals"	"FALSE"	"FALSE"	"13308244"	"TRUE"	"TRUE"	"GCST90470273"	"TRUE"	NA	"PNLIPRP1 protein levels"	"NA"	"39789286"	"2025-01-09"	"Nat Genet"	"A scalable variational inference approach for increased mixed-model association power."	NA	"UKB"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90470273"	"A scalable variational inference approach for increased mixed-model association power."	"Loya H"	"39789286"	"PNLIPRP1 protein levels"	"47,745 European ancestry individuals"	NA	"A scalable variational inference approach for increased mixed-model association power. | PNLIPRP1 protein levels | inactive pancreatic lipase-related protein 1 measurement | Loya H | 47,745 European ancestry individuals | "	0	2	0	1	3	TRUE
"47,745 European ancestry individuals"	"FALSE"	"FALSE"	"13308244"	"TRUE"	"TRUE"	"GCST90470274"	"TRUE"	NA	"PNLIPRP2 protein levels"	"NA"	"39789286"	"2025-01-09"	"Nat Genet"	"A scalable variational inference approach for increased mixed-model association power."	NA	"UKB"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90470274"	"A scalable variational inference approach for increased mixed-model association power."	"Loya H"	"39789286"	"PNLIPRP2 protein levels"	"47,745 European ancestry individuals"	NA	"A scalable variational inference approach for increased mixed-model association power. | PNLIPRP2 protein levels | level of pancreatic lipase-related protein 2 in blood serum | Loya H | 47,745 European ancestry individuals | "	0	2	0	1	3	TRUE
"47,745 European ancestry individuals"	"FALSE"	"FALSE"	"13308244"	"TRUE"	"TRUE"	"GCST90470309"	"TRUE"	NA	"PPY protein levels"	"NA"	"39789286"	"2025-01-09"	"Nat Genet"	"A scalable variational inference approach for increased mixed-model association power."	NA	"UKB"	NA	"OBA_2051098"	"level of pancreatic prohormone in blood"	"GCST90470309"	"A scalable variational inference approach for increased mixed-model association power."	"Loya H"	"39789286"	"PPY protein levels"	"47,745 European ancestry individuals"	NA	"A scalable variational inference approach for increased mixed-model association power. | PPY protein levels | level of pancreatic prohormone in blood | Loya H | 47,745 European ancestry individuals | "	0	2	0	1	3	TRUE
"47,745 European ancestry individuals"	"FALSE"	"FALSE"	"13308243"	"TRUE"	"TRUE"	"GCST90470476"	"TRUE"	NA	"RNASE1 protein levels"	"NA"	"39789286"	"2025-01-09"	"Nat Genet"	"A scalable variational inference approach for increased mixed-model association power."	NA	"UKB"	NA	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90470476"	"A scalable variational inference approach for increased mixed-model association power."	"Loya H"	"39789286"	"RNASE1 protein levels"	"47,745 European ancestry individuals"	NA	"A scalable variational inference approach for increased mixed-model association power. | RNASE1 protein levels | ribonuclease pancreatic measurement | Loya H | 47,745 European ancestry individuals | "	0	2	0	1	3	TRUE
"3,632 Non-Finnish European ancestry cases, 454,808 Non-Finnish European ancestry controls"	"FALSE"	"FALSE"	"102304434"	"FALSE"	"FALSE"	"GCST90473885"	"TRUE"	NA	"ICD10 K86: Other diseases of pancreas"	"NA"	"40770095"	"2025-08-06"	"Nature"	"Whole-genome sequencing of 490,640 UK Biobank participants."	NA	"UKB"	NA	"EFO_0009605"	"pancreas disease"	"GCST90473885"	"Whole-genome sequencing of 490,640 UK Biobank participants."	"UK Biobank Whole-Genome Sequencing Consortium"	"40770095"	"ICD10 K86: Other diseases of pancreas"	"3,632 Non-Finnish European ancestry cases, 454,808 Non-Finnish European ancestry controls"	NA	"Whole-genome sequencing of 490,640 UK Biobank participants. | ICD10 K86: Other diseases of pancreas | pancreas disease | UK Biobank Whole-Genome Sequencing Consortium | 3,632 Non-Finnish European ancestry cases, 454,808 Non-Finnish European ancestry controls | "	0	2	0	1	3	TRUE
"12,564 European ancestry cases, 431,876 European ancestry controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478483"	"TRUE"	NA	"Diseases of pancreas (PheCode 577)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0009605"	"pancreas disease"	"GCST90478483"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Diseases of pancreas (PheCode 577)"	"12,564 European ancestry cases, 431,876 European ancestry controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Diseases of pancreas (PheCode 577) | pancreas disease | Verma A | 12,564 European ancestry cases, 431,876 European ancestry controls | "	0	2	0	1	3	TRUE
"4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls, 12,564 European ancestry cases, 431,876 European ancestry controls, 1,605 Hispanic or Latin American cases, 57,425 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90480360"	"TRUE"	NA	"Diseases of pancreas (PheCode 577)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0009605"	"pancreas disease"	"GCST90480360"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Diseases of pancreas (PheCode 577)"	"4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls, 12,564 European ancestry cases, 431,876 European ancestry controls, 1,605 Hispanic or Latin American cases, 57,425 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Diseases of pancreas (PheCode 577) | pancreas disease | Verma A | 4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls, 12,564 European ancestry cases, 431,876 European ancestry controls, 1,605 Hispanic or Latin American cases, 57,425 Hispanic or Latin American controls | "	0	2	0	1	3	TRUE
"338 European ancestry individuals"	NA	"FALSE"	"10904148"	"TRUE"	NA	"GCST90483377"	"TRUE"	NA	"Intraductal papillary mucinous neoplasm (adjusted for cyst)"	"NA"	"39639588"	"2024-12-05"	"Cancer"	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy."	NA	"NR"	"Infinium Global Screening Array-24 v3.0 BeadChip"	"MONDO_0004286"	"pancreatic intraductal papillary-mucinous neoplasm"	"GCST90483377"	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy."	"Gentiluomo M"	"39639588"	"Intraductal papillary mucinous neoplasm (adjusted for cyst)"	"338 European ancestry individuals"	NA	"A genome-wide association study identifies eight loci associated with intraductal papillary mucinous neoplasm progression toward malignancy. | Intraductal papillary mucinous neoplasm (adjusted for cyst) | pancreatic intraductal papillary-mucinous neoplasm | Gentiluomo M | 338 European ancestry individuals | "	0	2	0	1	3	TRUE
"1,255 European, Hispanic or African ancestry individuals"	"FALSE"	"FALSE"	"5461287"	"TRUE"	"FALSE"	"GCST90572678"	"TRUE"	NA	"RNAS1 protein level (protein group normalized intensity)"	"325 Arab, Indian or Filipino ancestry individuals"	"41310232"	"2025-11-27"	"Nat Genet"	"A genome-wide association study of mass spectrometry proteomics using a nanoparticle enrichment platform."	NA	"MGBB"	"MEGA|MEGAEX|GSA"	"EFO_0802019"	"ribonuclease pancreatic measurement"	"GCST90572678"	"A genome-wide association study of mass spectrometry proteomics using a nanoparticle enrichment platform."	"Suhre K"	"41310232"	"RNAS1 protein level (protein group normalized intensity)"	"1,255 European, Hispanic or African ancestry individuals"	NA	"A genome-wide association study of mass spectrometry proteomics using a nanoparticle enrichment platform. | RNAS1 protein level (protein group normalized intensity) | ribonuclease pancreatic measurement | Suhre K | 1,255 European, Hispanic or African ancestry individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90610115"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein level (X15471.29)"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90610115"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic lipase-related protein 2 protein level (X15471.29)"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic lipase-related protein 2 protein level (X15471.29) | level of pancreatic lipase-related protein 2 in blood serum | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90610193"	"TRUE"	NA	"Pancreatic triacylglycerol lipase protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"GCST90610193"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic triacylglycerol lipase protein level"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic triacylglycerol lipase protein level | level of pancreatic triacylglycerol lipase in blood serum | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90613470"	"TRUE"	NA	"Pancreatic hormone protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90613470"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic hormone protein level"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic hormone protein level | pancreatic hormone measurement | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90614178"	"TRUE"	NA	"Inactive pancreatic lipase-related protein 1 protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90614178"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Inactive pancreatic lipase-related protein 1 protein level"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Inactive pancreatic lipase-related protein 1 protein level | inactive pancreatic lipase-related protein 1 measurement | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90614224"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein level (X6957.14)"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90614224"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic lipase-related protein 2 protein level (X6957.14)"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic lipase-related protein 2 protein level (X6957.14) | level of pancreatic lipase-related protein 2 in blood serum | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90614355"	"TRUE"	NA	"Ribonuclease pancreatic protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2043280"	"level of ribonuclease pancreatic in blood serum"	"GCST90614355"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Ribonuclease pancreatic protein level"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Ribonuclease pancreatic protein level | level of ribonuclease pancreatic in blood serum | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"414 African American or Afro-Caribbean individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90615219"	"TRUE"	NA	"Motor neuron and pancreas homeobox protein 1 protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042393"	"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"GCST90615219"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Motor neuron and pancreas homeobox protein 1 protein level"	"414 African American or Afro-Caribbean individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Motor neuron and pancreas homeobox protein 1 protein level | level of motor neuron and pancreas homeobox protein 1 in blood serum | Yang C | 414 African American or Afro-Caribbean individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90618505"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein level (X15471.29)"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90618505"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic lipase-related protein 2 protein level (X15471.29)"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic lipase-related protein 2 protein level (X15471.29) | level of pancreatic lipase-related protein 2 in blood serum | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90618583"	"TRUE"	NA	"Pancreatic triacylglycerol lipase protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042948"	"level of pancreatic triacylglycerol lipase in blood serum"	"GCST90618583"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic triacylglycerol lipase protein level"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic triacylglycerol lipase protein level | level of pancreatic triacylglycerol lipase in blood serum | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90621860"	"TRUE"	NA	"Pancreatic hormone protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"EFO_0020621"	"pancreatic hormone measurement"	"GCST90621860"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic hormone protein level"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic hormone protein level | pancreatic hormone measurement | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90622568"	"TRUE"	NA	"Inactive pancreatic lipase-related protein 1 protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"EFO_0801693"	"inactive pancreatic lipase-related protein 1 measurement"	"GCST90622568"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Inactive pancreatic lipase-related protein 1 protein level"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Inactive pancreatic lipase-related protein 1 protein level | inactive pancreatic lipase-related protein 1 measurement | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90622614"	"TRUE"	NA	"Pancreatic lipase-related protein 2 protein level (X6957.14)"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90622614"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Pancreatic lipase-related protein 2 protein level (X6957.14)"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Pancreatic lipase-related protein 2 protein level (X6957.14) | level of pancreatic lipase-related protein 2 in blood serum | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90622745"	"TRUE"	NA	"Ribonuclease pancreatic protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2043280"	"level of ribonuclease pancreatic in blood serum"	"GCST90622745"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Ribonuclease pancreatic protein level"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Ribonuclease pancreatic protein level | level of ribonuclease pancreatic in blood serum | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"2,338 European ancestry individuals"	"FALSE"	"FALSE"	"10448203"	"TRUE"	"FALSE"	"GCST90623609"	"TRUE"	NA	"Motor neuron and pancreas homeobox protein 1 protein level"	"NA"	"40789849"	"2025-08-11"	"Nat Commun"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	NA	"Knight_ADRC"	NA	"OBA_2042393"	"level of motor neuron and pancreas homeobox protein 1 in blood serum"	"GCST90623609"	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites."	"Yang C"	"40789849"	"Motor neuron and pancreas homeobox protein 1 protein level"	"2,338 European ancestry individuals"	NA	"European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites. | Motor neuron and pancreas homeobox protein 1 protein level | level of motor neuron and pancreas homeobox protein 1 in blood serum | Yang C | 2,338 European ancestry individuals | "	0	2	0	1	3	TRUE
"400 French ancestry individuals"	NA	"FALSE"	"5201092"	"TRUE"	NA	"GCST90085777"	"TRUE"	NA	"TATI plasma levels"	"NA"	"35264221"	"2022-03-09"	"Genome Med"	"Integrative genetic and immune cell analysis of plasma proteins in healthy donors identifies novel associations involving primary immune deficiency genes."	NA	"Milieu Interieur"	"HumanOmniExpress-24 BeadChip"	"EFO_0020956"	"pancreatic secretory trypsin inhibitor protein measurement"	"GCST90085777"	"Integrative genetic and immune cell analysis of plasma proteins in healthy donors identifies novel associations involving primary immune deficiency genes."	"Caron B"	"35264221"	"TATI plasma levels"	"400 French ancestry individuals"	NA	"Integrative genetic and immune cell analysis of plasma proteins in healthy donors identifies novel associations involving primary immune deficiency genes. | TATI plasma levels | pancreatic secretory trypsin inhibitor protein measurement | Caron B | 400 French ancestry individuals | "	0	2	0	0	2	TRUE
"466 African American individuals"	NA	"FALSE"	"14870897"	"TRUE"	NA	"GCST90234390"	"TRUE"	NA	"Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (15471_29)"	"NA"	"35870639"	"2022-07-21"	"Kidney Int"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	NA	"AASK"	"Infinium MEG BEADChip, Illumina"	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90234390"	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension."	"Surapaneni A"	"35870639"	"Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (15471_29)"	"466 African American individuals"	NA	"Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension. | Pancreatic lipase-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (15471_29) | level of pancreatic lipase-related protein 2 in blood serum | Surapaneni A | 466 African American individuals | "	0	2	0	0	2	TRUE
