gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC9A4	0.189904113467973	-0.219095692511067	0.358121168599123	0.72067823773495	0.777962486923404	-6.29970379731361
POM121B	0.0838212255075153	-2.38112808074267	0.358016001208233	0.720756801354556	0.777988222642686	-6.10658918916073
AL583856.2	-0.0673356260169227	-2.91416961754458	-0.357999196688141	0.720769355178349	0.777988222642686	-6.029955109115
NBAT1	0.0605865256412477	-2.53786265708317	0.357897206899239	0.720845548320977	0.778024482332914	-6.09544354793209
CERNA1	-0.0455465247214139	-0.713380525513307	-0.357864172318469	0.720870227945002	0.778024482332914	-6.23465525622205
AC099344.3	0.0669104553914657	-1.93339342254003	0.357492368483241	0.721148017050517	0.778287976590964	-6.15876329868706
PTGIR	-0.0499755436568821	3.03530644693443	-0.357419827223583	0.721202219774073	0.778310155332685	-6.66526085353032
AC108448.2	-0.0725753795256452	-3.05415818902599	-0.357292157734929	0.721297617659872	0.778376787105148	-6.03269045187568
SPDYE21	-0.0574173303084713	-2.72616866417548	-0.356643946255089	0.721782045186647	0.778863208187224	-6.0694294582211
FAM156A	-0.0442406257283334	-2.41212057516051	-0.356063055213939	0.722216257799173	0.779295400316286	-6.10420640267091
LY75	0.0658697080574333	4.44165536348819	0.355807115621304	0.722407599781684	0.779465498845383	-6.92058421237675
AC024451.2	0.0538626670832438	-2.11206479550353	0.355592213290711	0.722568275584723	0.779599743167476	-6.14717118803159
AL353708.1	0.0488316990760804	-2.71927588705833	0.355550542005769	0.722599433339726	0.779599743167476	-6.06191713130371
SLC6A14	-0.154745723797967	4.61097575563711	-0.355485119573344	0.722648350840666	0.779616151611294	-6.94958138623725
HOXA6	0.104801296004833	-2.86691157832464	0.355278385389992	0.722802937131473	0.779746552076902	-6.06987384962701
TSPAN31	0.0313185868148711	5.28815190761021	0.35501075686798	0.723003074347155	0.779926077588666	-6.97043633170543
LAMA4-AS1	-0.0729775819853891	-2.88280276384126	-0.354889338531784	0.723093879371324	0.779987651793292	-6.05576289600485
MAMDC2-AS1	-0.0458676219234605	-0.663172135222869	-0.354834144768036	0.723135158382876	0.779995799975709	-6.23962263108394
ALPK1	-0.0449711022142978	4.54736003363788	-0.354649530682328	0.723273235807812	0.780108352271748	-6.92641740261914
AC005837.1	0.0740814169560258	-3.2575538412276	0.354483036574151	0.723397768646434	0.780206285826093	-5.99668664152147
HIF3A	0.0734603790604695	2.22673293146539	0.354213715982504	0.72359922839464	0.780387174367509	-6.53680054757525
AC009974.1	0.074713488533356	-3.19985715575382	0.354105201580721	0.723680405828158	0.780419549886419	-6.00951840533218
COLEC10	0.0682612516178147	-1.55162216194885	0.354058805011938	0.723715115121425	0.780419549886419	-6.18960856067539
MAN2B1	0.0316828682957153	6.19089937231575	0.354038268783079	0.723730478466098	0.780419549886419	-6.97262138173367
WASL-DT	-0.0338395800724864	2.04121915407287	-0.353940768754806	0.723803420679653	0.780461817030118	-6.4957674204788
KIAA2012	0.0742385879015606	-2.138168077964	0.353874301549113	0.723853147911333	0.780479049179176	-6.13134256327534
NOP14	-0.0234119745198127	4.69576005948124	-0.353439719391777	0.724178308148511	0.780793245576372	-6.92974274621683
PLA2G3	-0.160458737887048	-3.02571809591173	-0.353375837540933	0.7242261096445	0.780808384479675	-6.04269278293746
AC148476.1	-0.115442481010687	-0.985545391480167	-0.352978573171388	0.724523398865199	0.781092489113612	-6.22902443273612
SH2D2A	-0.0633531279357928	2.46541956181923	-0.352909136002289	0.724575365849272	0.7811121031678	-6.56952010086559
ARSLP1	0.118147375336752	-2.27751152569073	0.352842947699522	0.724624902563444	0.781129095618147	-6.11054020553536
PGM1	0.032962852070999	6.30914639509268	0.352415380713634	0.724944930668714	0.781437656436708	-6.96915251067603
IRF2-DT	0.0319057378451866	1.55707108697021	0.352062397180776	0.725209170590766	0.781686055712506	-6.42941864632227
PMS2P5	0.0605851450319362	-0.973972566619913	0.351931136892775	0.725307439141302	0.781737851966215	-6.22536597571519
LYPD6B	0.0988937172688664	3.42230985005654	0.351901782002892	0.725329416423719	0.781737851966215	-6.77511064175377
DEPDC1	-0.0727725757593274	1.58615574998762	-0.351862767402827	0.725358626046133	0.781737851966215	-6.45488058771717
GALNS	-0.0329854457029564	5.04115872329008	-0.351672842659986	0.725500825492945	0.781854670891423	-6.95901521819472
MIR635	0.0440055388043814	-1.38345965944659	0.351238832199397	0.725825811324941	0.782094205496556	-6.19991086642718
TPI1P1	0.0522430583720031	-0.730600329020603	0.351218189493088	0.725841269767115	0.782094205496556	-6.2501818809572
SLC7A9	-0.102762641319827	-0.941255628040145	-0.351200225141866	0.725854722595075	0.782094205496556	-6.23007170983716
KRT80	0.106924898072474	4.97990284294586	0.351195369600971	0.725858358741939	0.782094205496556	-6.96484176115912
MICOS10P3	-0.161883468926564	-3.84053761317002	-0.350461208563425	0.726408218239336	0.782650203644804	-5.92751384176661
ACSL5	-0.0840671975616241	6.44194173635014	-0.350325849112718	0.726509613000621	0.782664528250158	-6.95890367086918
AC025154.2	-0.130801754094467	0.565196415670552	-0.350313482020918	0.726518877155627	0.782664528250158	-6.34027092268073
ZMAT1	0.0637556228543588	3.42063189244979	0.35030793136201	0.726523035152311	0.782664528250158	-6.72423064924721
AP000757.2	-0.115880614467557	-3.62833100536262	-0.350224515528885	0.72658552290276	0.782695387689568	-5.94691720161659
FFAR3	0.0850284368228	-2.99991064572137	0.349657606359746	0.72701024959909	0.783116438578909	-6.02430530847999
ZNF655	-0.0302596350892479	5.61528201985055	-0.349475089083886	0.72714700902208	0.783224296859812	-6.9806098291475
PDCD2	-0.0217845144603146	5.16571026374451	-0.349433583865349	0.727178109930419	0.783224296859812	-6.96719720528269
ANAPC13	-0.0216323931355094	5.35056913539351	-0.349185921039367	0.727363699360669	0.783387707870613	-6.97578650239096
MGAT5B	0.0861958860771834	-0.0466287129250524	0.349006320720175	0.727498295337235	0.783496185078443	-6.27801368421002
CCDC97	-0.0211733982214515	5.28799842630421	-0.34883566401514	0.727626196651125	0.783597442547365	-6.97194545715452
AC131235.2	0.0488535780459931	-2.63258037541335	0.348590794829236	0.727809731025641	0.783711702765329	-6.0812718895663
NABP1	0.0528997257282322	4.33491685103212	0.348572081891433	0.727823757396183	0.783711702765329	-6.90282751737146
