gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZC3HC1	-0.249690237678625	3.63090437291025	-2.99116541550267	0.00317445253745077	0.0126671391107939	-2.30242029776202
CIZ1	-0.221084095851575	6.56444133669618	-2.9909736899542	0.00317634925583379	0.0126725212332109	-2.51425609569104
AC139768.1	-0.33839061393739	0.476644752302963	-2.99053930659501	0.00318065041357429	0.0126874927156168	-1.98762284564173
IMPDH1	-0.367317761279574	5.74510874525818	-2.99042257826752	0.00318180714110862	0.0126899181858183	-2.51569933708991
CNTNAP1	0.554943887364662	3.37643570506719	2.98949325500268	0.00319103013703856	0.0127245077602462	-2.2807502420693
HMGB1P6	0.327945279760546	2.69665150907753	2.98891258492902	0.00319680541772905	0.0127453397175035	-2.16340825816874
SLC31A1	0.377871160444623	5.42682753176195	2.98787903071577	0.00320710880614891	0.0127842144895919	-2.50568478965995
EVC2	0.615775612524912	2.4444350188891	2.98766200268287	0.00320927620799536	0.0127901695548056	-2.15597955815322
CTDP1	-0.294400889871539	4.64971535936794	-2.9876187066151	0.00320970875545191	0.0127901695548056	-2.44538832384814
RASA4CP	-0.693649949340432	1.40107278742566	-2.98722137822197	0.00321368074981562	0.0128037912802301	-2.05479122468672
CEP162	0.267105393054207	3.04831011007355	2.9871301650282	0.00321459322298212	0.0128052208165916	-2.23486337426714
DENND6A	0.21532464752212	4.78832886629072	2.98629549811095	0.00322295407890176	0.0128363151260272	-2.45827572684159
SGCD	0.727293377219433	3.76251169739286	2.98613318831139	0.00322458225458581	0.0128396401096806	-2.3768213580796
ZNF676	0.883320183052151	-1.27845779951663	2.98610159835659	0.00322489923024622	0.0128396401096806	-1.93352661324442
PRDM6	0.597609459420852	2.08281758713125	2.98540895472632	0.00323185646182932	0.012863054402948	-2.12475947321632
TMTC4	0.409372108850383	4.4548103668121	2.98540537302881	0.00323189247386418	0.012863054402948	-2.41288070433432
IL15RA	0.502523377276074	4.79699570871767	2.98497151573417	0.00323625740320423	0.0128782108088967	-2.43121805903676
AC011472.1	-0.645762076241518	-0.503287016227999	-2.98450297270629	0.00324097738027045	0.0128939194177722	-1.95763472777478
CYP1B1	0.992186135604478	5.44619913872108	2.98446899220214	0.00324131993665373	0.0128939194177722	-2.51235833717332
AC022150.4	0.781428721155313	0.74147635244524	2.98413555707121	0.00324468305089772	0.012905078177328	-2.02104512245391
AL356356.1	-0.707877973710582	-2.78483603033739	-2.98406758106053	0.00324536906810602	0.012905587312097	-1.85776052483376
FAM98B	0.23740270479118	4.84191190944796	2.98368716041964	0.00324921075221336	0.0129170984484293	-2.48026792135806
MACROD1	-0.581793879929067	3.84700090134409	-2.98367033266559	0.00324938078402637	0.0129170984484293	-2.30767847260733
RPL37	-0.412604892480807	9.25656805604932	-2.98359230548194	0.0032501692969434	0.0129180126309859	-2.40975574578237
AL035252.3	-0.634342085298992	-0.162017510353439	-2.98334851273461	0.00325263410626005	0.01292341118982	-1.97665001305567
FBXO21	0.328538034738206	5.88614628476137	2.98334742289595	0.00325264512867271	0.01292341118982	-2.53484109000373
PJVK	-0.424561181649396	0.870562448626408	-2.98326982506894	0.00325343002596692	0.0129243094538926	-2.01644459919512
KDM6A	0.37319579591984	4.8231503798047	2.98318345627277	0.00325430384571465	0.0129255605948288	-2.47858687499298
GNB1	0.252725495529631	8.59444439904249	2.98251525591751	0.00326107152566776	0.0129502167317383	-2.4441273625698
