gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
LINC02452	-0.163462796650417	-2.6021154461404	-0.394292898364976	0.693838201113266	0.803479366881015	-5.58116503966706
PLXNA2	0.0562275173780638	6.31464146465485	0.394170902265819	0.693928099137286	0.803543237212594	-6.509989524162
HOXD10	-0.178490867680652	-3.14228876605004	-0.394061994445961	0.694008356174645	0.803595937799499	-5.55562575896063
AL158823.1	-0.0877356633972051	-2.58371118175377	-0.393897489884332	0.694129590475094	0.803696078523554	-5.60208837605052
MED10	0.0311434695562829	4.71896327880972	0.393580173393922	0.694363464295846	0.803864938290833	-6.41813049276628
CCM2	-0.0330216340391862	5.83104029533502	-0.393576003158011	0.694366538107167	0.803864938290833	-6.50705288091523
CSGALNACT2	-0.0504977265323623	5.19334191123903	-0.39355160178627	0.694384524052813	0.803864938290833	-6.44391854988121
AC005253.1	-0.0602006566101409	-0.684591225048652	-0.393438448187242	0.694467930422312	0.803864938290833	-5.77814672670592
LINC02725	0.178610271748873	-3.05232801255374	0.393437754981053	0.694468441401311	0.803864938290833	-5.53685516414524
AL031283.2	0.0883034288772744	-2.84178935952211	0.393416684277004	0.694483973192197	0.803864938290833	-5.56940741088406
CCNT2	-0.0316246006388603	5.29651643134852	-0.39323301446372	0.694619366701125	0.803981418930218	-6.46757410444772
SLC4A1AP	0.0237132169753096	4.73655591532432	0.393091606325056	0.694723613410813	0.804061839111509	-6.40761845360846
PPP1R3C	0.0844743184879579	3.23567527052435	0.392871923086646	0.694885576420932	0.804209047811415	-6.13855626241067
ZNF487	-0.0333577355429511	2.195854286556	-0.392455698320178	0.695192479563519	0.804523976349516	-6.00669396124465
AC114296.1	0.160960655215539	-2.04060320639148	0.392291533539052	0.695313540245501	0.804586208114282	-5.6321767979062
C1QTNF2	0.080947439478129	1.11413446359334	0.392251943484192	0.695342736468292	0.804586208114282	-5.86998730815196
EMC7	0.0306709007642612	5.85354148538404	0.392241254205839	0.695350619499665	0.804586208114282	-6.50364745243691
AC073263.1	-0.113951466978156	-3.09750165604743	-0.392146730533412	0.695420329399473	0.804626613555006	-5.57077152611472
RNF8	-0.0242020228986002	4.17737933302964	-0.392059481490676	0.69548467666488	0.804660810500518	-6.33475400942401
AL133243.2	0.0494590272594378	0.289912812046088	0.391981386965038	0.695542274234636	0.804687195162757	-5.82547719685703
TMEM86A	0.0494982175596062	3.50436480793531	0.391818236133001	0.695662609658415	0.804786156271499	-6.18793837849067
IGFBP3	0.0989722597508873	8.77815295967922	0.391729317342309	0.6957281968895	0.804821774504094	-6.40315279567469
ITGA11	0.125314037015824	5.68480075486848	0.391554216558837	0.69585735937748	0.804930929663017	-6.48667943612282
LIPN	-0.124113840203494	-2.50691248935823	-0.391385714599426	0.695981662667136	0.805034453321607	-5.58568301202698
GRM2	-0.0868639926340114	-0.335329066979195	-0.391170969893785	0.696140091002088	0.80515784015674	-5.78966433881617
GORAB-AS1	0.0829007887081803	-1.25009389889107	0.391146748356473	0.696157961328879	0.80515784015674	-5.72869597335586
PHYKPL	-0.0353829740103917	5.14906548830511	-0.390951305336104	0.696302162803006	0.805284349500346	-6.46802470679185
RAB24	-0.0621082942856539	1.40621103622561	-0.390766468178946	0.696438549261575	0.805401808456508	-5.96210855919306
AC106786.1	0.0991290232518154	-1.29583902715767	0.390712938676791	0.696478049116588	0.805407215998422	-5.70850188831046
SMC5-AS1	0.0497377030143604	-0.362350238908474	0.390620440279903	0.69654630639238	0.805445876418328	-5.79237053397992
UTP6	0.022717781668824	5.27271045896243	0.390511325419951	0.696626828628621	0.805467552634175	-6.47246146870941
CD207	-0.14278488435787	0.952253340271506	-0.390500652591621	0.696634704917909	0.805467552634175	-5.86838243761269
FMNL2	0.0428113140806961	5.19922249042744	0.390354100723929	0.696742859988903	0.805500807487926	-6.45004837309548
CCDC8	-0.0820248899124803	4.18622136870763	-0.39032694920311	0.696762898455509	0.805500807487926	-6.32323528526492
G3BP1	-0.0281435889616519	7.18251485042832	-0.390283782568831	0.696794756895139	0.805500807487926	-6.49443029503935
KLK5	0.271124529683891	-2.63813589803144	0.390272914136132	0.696802778251943	0.805500807487926	-5.59457335861271
GRIN1	0.125988481470153	-0.318961131807456	0.390085009421841	0.696941465175346	0.805620861983976	-5.79551068787947
HIPK4	-0.0766182678170901	-2.56899783704075	-0.389921077048651	0.697062467164406	0.805720462820649	-5.61261644100064
CRNKL1	-0.031575372445773	5.06494347285911	-0.389609946999762	0.697292140274503	0.805886242207215	-6.44893828055604
TTC30B	-0.0417204533336584	2.79353863265975	-0.389566699221431	0.697324067569696	0.805886242207215	-6.08136797907629
SLC22A14	0.0996638745527636	-2.87714118695287	0.389547567867961	0.697338191296984	0.805886242207215	-5.59277469963464
EPHX3	0.145301988345983	0.981167916648371	0.389537981735039	0.697345268302187	0.805886242207215	-5.86393192303682
CSNK1G1	-0.0277236592922989	4.22564431590041	-0.389396173339868	0.697449962081182	0.805953199910905	-6.32186355996227
MMP9	0.13855607204908	4.66645882656253	0.389356966652636	0.697478908474745	0.805953199910905	-6.38936016562827
TAB2	0.0295191731479578	6.22271892710658	0.389296418730032	0.697523612027112	0.805953199910905	-6.51034951126985
L1TD1	-0.133810066065822	-1.63827794513784	-0.389250731397313	0.697557344456221	0.805953199910905	-5.68255117558204
TBC1D22B	-0.0256525818666677	4.17368059746883	-0.389222800740456	0.697577966856576	0.805953199910905	-6.333244997625
LINC02718	-0.098790562910787	-3.27997297724702	-0.389176310828845	0.697612292849205	0.805953199910905	-5.52306649515451
SNTB2	0.0345040234289113	5.17626147634799	0.389056485909808	0.697700768883836	0.806006261959951	-6.44569965242757
TTYH1	0.138297774546244	1.66727736651908	0.389019713555534	0.697727921597206	0.806006261959951	-5.94121156884743
TMPO	0.0426460843898386	6.06014112451848	0.388931413968869	0.697793123622456	0.806041322702036	-6.50759617927859
NSMCE1-DT	0.0572400003969451	-1.46627342051542	0.38885826966245	0.697847136416207	0.806063455577787	-5.7162891823263
RBFADN	0.100035703271746	-2.09406369492558	0.388787678070683	0.697899265643208	0.80608341069697	-5.66432230448297
QRICH1	0.0214364235670832	5.95225180996374	0.388646463277264	0.69800355175396	0.806163602744848	-6.50650917088773
ZNF784	-0.0425411098358688	2.94595736334972	-0.388364611721557	0.698211714296096	0.80632593376576	-6.1412299260806
AC112721.1	0.146587356206803	-3.42822453862236	0.388361746328089	0.698213830660969	0.80632593376576	-5.48298333513503
AL138479.2	0.115323123567225	-0.859975676529881	0.388097467854995	0.698409035553447	0.80651109318355	-5.75764782745432
AC022150.4	0.0951520979901975	0.74147635244524	0.387975332878142	0.698499255317732	0.806554669484951	-5.84071864262493
PACC1	0.0360270300196737	2.94490421915339	0.3879519641038	0.698516518063973	0.806554669484951	-6.10906099371461
CLCA2	-0.205368062542635	-2.12383323004067	-0.387658452754272	0.698733351208208	0.80676476195614	-5.65777081721278
SYT13	0.109824839506676	6.23293038097555	0.387558059576673	0.698807522918125	0.806781493856802	-6.50998112779013
LGALS12	-0.143812440247458	-1.40396093596306	-0.38754440780679	0.698817609236999	0.806781493856802	-5.70504905532354
SSPN	0.0732353021330345	4.73949803472829	0.387466001528077	0.698875539081224	0.806808099624166	-6.37989097533602
MORN1	-0.0469135286652036	2.32343921002341	-0.387236439550037	0.69904515925709	0.806963635802245	-6.03082781699921
AC011503.2	-0.0968631228429646	-1.97191636806296	-0.387081429552251	0.699159702574069	0.807035636798415	-5.66673871615602
RAB44	0.0914391541196147	-1.12746927384798	0.38705758908779	0.699177319894926	0.807035636798415	-5.72401549271161
AL139022.1	-0.0928622692634082	-3.23976960304429	-0.386860418860304	0.699323028483486	0.807150235145652	-5.53123923220127
