full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710699_PDAC_TISSUE_11A.tar.gz"	"GSM4710699_PDAC_TISSUE_11A.tar.gz"	"gz"	12734951	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710700_PDAC_TISSUE_11B.tar.gz"	"GSM4710700_PDAC_TISSUE_11B.tar.gz"	"gz"	22972992	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710701_PDAC_TISSUE_12.tar.gz"	"GSM4710701_PDAC_TISSUE_12.tar.gz"	"gz"	13763827	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710702_PDAC_TISSUE_13.tar.gz"	"GSM4710702_PDAC_TISSUE_13.tar.gz"	"gz"	51547528	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710703_PDAC_TISSUE_14.tar.gz"	"GSM4710703_PDAC_TISSUE_14.tar.gz"	"gz"	2238506	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710704_PDAC_TISSUE_15.tar.gz"	"GSM4710704_PDAC_TISSUE_15.tar.gz"	"gz"	42336204	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710705_PDAC_TISSUE_16.tar.gz"	"GSM4710705_PDAC_TISSUE_16.tar.gz"	"gz"	15180312	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710706_AdjNorm_TISSUE_1.tar.gz"	"GSM4710706_AdjNorm_TISSUE_1.tar.gz"	"gz"	30671097	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710707_AdjNorm_TISSUE_2.tar.gz"	"GSM4710707_AdjNorm_TISSUE_2.tar.gz"	"gz"	18503814	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710708_AdjNorm_TISSUE_3.tar.gz"	"GSM4710708_AdjNorm_TISSUE_3.tar.gz"	"gz"	10521249	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710709_PDAC_PBMC_1.tar.gz"	"GSM4710709_PDAC_PBMC_1.tar.gz"	"gz"	14182781	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710710_PDAC_PBMC_2.tar.gz"	"GSM4710710_PDAC_PBMC_2.tar.gz"	"gz"	16766513	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710711_PDAC_PBMC_3.tar.gz"	"GSM4710711_PDAC_PBMC_3.tar.gz"	"gz"	21094928	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710712_PDAC_PBMC_4.tar.gz"	"GSM4710712_PDAC_PBMC_4.tar.gz"	"gz"	25093584	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710713_PDAC_PBMC_5.tar.gz"	"GSM4710713_PDAC_PBMC_5.tar.gz"	"gz"	21647560	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710714_PDAC_PBMC_6.tar.gz"	"GSM4710714_PDAC_PBMC_6.tar.gz"	"gz"	17160448	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710715_PDAC_PBMC_7.tar.gz"	"GSM4710715_PDAC_PBMC_7.tar.gz"	"gz"	30617351	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710716_PDAC_PBMC_8.tar.gz"	"GSM4710716_PDAC_PBMC_8.tar.gz"	"gz"	23725971	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710717_PDAC_PBMC_9.tar.gz"	"GSM4710717_PDAC_PBMC_9.tar.gz"	"gz"	21557442	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710718_PDAC_PBMC_10A.tar.gz"	"GSM4710718_PDAC_PBMC_10A.tar.gz"	"gz"	23029324	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710719_PDAC_PBMC_10B.tar.gz"	"GSM4710719_PDAC_PBMC_10B.tar.gz"	"gz"	5210031	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710720_PDAC_PBMC_11.tar.gz"	"GSM4710720_PDAC_PBMC_11.tar.gz"	"gz"	13049669	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710721_PDAC_PBMC_12.tar.gz"	"GSM4710721_PDAC_PBMC_12.tar.gz"	"gz"	20856087	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710722_PDAC_PBMC_13.tar.gz"	"GSM4710722_PDAC_PBMC_13.tar.gz"	"gz"	15239441	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710723_PDAC_PBMC_14.tar.gz"	"GSM4710723_PDAC_PBMC_14.tar.gz"	"gz"	21762041	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710724_PDAC_PBMC_15.tar.gz"	"GSM4710724_PDAC_PBMC_15.tar.gz"	"gz"	21455167	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710725_PDAC_PBMC_16.tar.gz"	"GSM4710725_PDAC_PBMC_16.tar.gz"	"gz"	15020900	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710726_Healthy_PBMC_1.tar.gz"	"GSM4710726_Healthy_PBMC_1.tar.gz"	"gz"	23726834	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710727_Healthy_PBMC_2.tar.gz"	"GSM4710727_Healthy_PBMC_2.tar.gz"	"gz"	18299081	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710728_Healthy_PBMC_3.tar.gz"	"GSM4710728_Healthy_PBMC_3.tar.gz"	"gz"	41137829	"NO"	"NO"	"NO"	"NO"	"NO"
"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710729_Healthy_PBMC_4.tar.gz"	"GSM4710729_Healthy_PBMC_4.tar.gz"	"gz"	10992722	"NO"	"NO"	"NO"	"NO"	"NO"
