rank	gene
950	"TGFB2"
951	"CD59"
952	"EHF"
953	"ADM"
954	"IL33"
955	"NRXN2"
956	"TMIGD2"
957	"EPS8L1"
958	"MUC20"
959	"CLEC12A"
960	"CLDN3"
961	"KIAA1324"
962	"NTRK2"
963	"TJP1"
964	"CTTN"
965	"HERC5"
966	"LILRA5"
967	"COL16A1"
968	"VEGFA"
969	"MT1A"
970	"SEPT11"
971	"NPC2"
972	"AKR1B1"
973	"PLXDC2"
974	"SEMA5A"
975	"PLXDC1"
976	"MSMO1"
977	"TNNT1"
978	"NPW"
979	"FAM3C"
980	"CYBRD1"
981	"PDLIM1"
982	"FA2H"
983	"EMP2"
984	"UNC5B-AS1"
985	"CDCA8"
986	"WWTR1"
987	"DLC1"
988	"CRB3"
989	"P2RY14"
990	"MME"
991	"EPS8L3"
992	"CAMK1"
993	"HIST1H1D"
994	"UNC5B"
995	"GATM"
996	"MYH10"
997	"LTA4H"
998	"SPINK5"
999	"FOSL1"
1000	"FHL1"
1001	"PRR11"
1002	"BIK"
1003	"CENPU"
1004	"STEAP1"
1005	"NT5DC2"
1006	"CCND2"
1007	"GAL3ST4"
1008	"BNIP3"
1009	"NET1"
1010	"MYO6"
1011	"PHGDH"
1012	"LMNB1"
1013	"CCR10"
1014	"PVRL4"
1015	"FAM198B"
1016	"SEPT4"
1017	"FAT1"
1018	"SLC3A2"
1019	"SULT1C2"
1020	"KRT80"
1021	"KANK2"
1022	"SPTSSB"
1023	"GGH"
1024	"TNFRSF21"
1025	"BANK1"
1026	"MAF"
1027	"CHPF"
1028	"ITGAV"
1029	"PCDH1"
1030	"GUCY1A3"
1031	"CCDC88A"
1032	"RNF128"
1033	"NGFRAP1"
1034	"EPB41L2"
1035	"OAS1"
1036	"PLA2G16"
1037	"MPZL2"
1038	"PAM"
1039	"LY86"
1040	"BAIAP2L1"
1041	"ITGB5"
1042	"MND1"
1043	"SMC2"
1044	"NTN4"
1045	"MARCH1"
1046	"SGOL1"
1047	"CEBPA"
1048	"MIR155HG"
1049	"BCAT1"
1050	"AQP3"
1051	"GPC1"
1052	"DTL"
1053	"LARP6"
1054	"TMEM98"
1055	"SPHK1"
1056	"GPR124"
1057	"NPNT"
1058	"GSTM3"
1059	"SH3D19"
1060	"CYP4F3"
1061	"ZNF385A"
1062	"SYNPO"
1063	"SPC24"
1064	"ANKH"
1065	"E2F8"
1066	"AMIGO2"
1067	"PBX1"
1068	"MELK"
1069	"LIMCH1"
1070	"KLHL23"
1071	"AP1M2"
1072	"RN7SL1"
1073	"HBB"
1074	"UBE2S"
1075	"LYNX1"
1076	"TGFB3"
1077	"CFTR"
1078	"SPINT2"
1079	"CAPG"
1080	"UGCG"
1081	"C2orf40"
1082	"IL1R2"
1083	"FDX1"
1084	"CST3"
1085	"CD2"
1086	"C4BPB"
1087	"PARD6B"
1088	"CCDC102B"
1089	"BCYRN1"
1090	"FAM83A"
1091	"PGF"
1092	"PDIA4"
1093	"SRPX"
1094	"DST"
1095	"CDKN2A"
1096	"EZR"
1097	"SMPD3"
1098	"C19orf77"
1099	"RBMS3"
1100	"SEZ6L2"
1101	"P2RY13"
1102	"MRVI1"
1103	"DUSP2"
1104	"APOBEC3B"
1105	"MXRA7"
1106	"ADAMTS4"
1107	"RHOV"
1108	"C2CD4B"
1109	"ERO1L"
1110	"IL32"
1111	"PKP3"
1112	"CMBL"
1113	"JSRP1"
1114	"LINC00910"
1115	"HIF1A-AS2"
1116	"WDFY4"
1117	"SNHG12"
1118	"POU2F3"
1119	"RGS2"
1120	"PTGR1"
1121	"PIM2"
1122	"CD3G"
1123	"SCNN1A"
1124	"SHROOM3"
1125	"TMEM37"
1126	"SERPINB5"
1127	"LRRC17"
1128	"ANGPT2"
1129	"SCPEP1"
1130	"CDHR5"
1131	"SLIT3"
1132	"ANXA2"
1133	"OCIAD2"
1134	"NDRG1"
1135	"AP1S2"
1136	"NCAPH"
1137	"TMEM45B"
1138	"TSPAN4"
1139	"KIF26B"
1140	"ISM1"
1141	"MAFF"
1142	"GFPT1"
1143	"LINC00342"
1144	"FAM213A"
1145	"ITGA7"
1146	"F2RL1"
1147	"HIST2H2AA3"
1148	"CD86"
1149	"HK2"
1150	"ANKRD37"
1151	"HERPUD1"
1152	"COL8A2"
1153	"CD1D"
1154	"CYB5D2"
1155	"PPAPDC1A"
1156	"GJB3"
1157	"AMOTL2"
1158	"ADAM8"
1159	"FAM114A1"
1160	"CTNNAL1"
1161	"PILRA"
1162	"KRTCAP3"
1163	"RCAN2"
1164	"KHDRBS3"
1165	"CENPW"
1166	"NCEH1"
1167	"PMAIP1"
1168	"HIC1"
1169	"FNIP2"
1170	"TTYH3"
1171	"SHCBP1"
1172	"CCDC68"
1173	"STARD10"
1174	"EFHD1"
1175	"ADRA2A"
1176	"CXCL16"
1177	"HAS2"
1178	"KYNU"
1179	"MYC"
1180	"MYEOV"
1181	"OASL"
1182	"FLRT2"
1183	"CCL28"
1184	"P2RY6"
1185	"PHACTR1"
1186	"PTPRR"
1187	"SLC45A3"
1188	"MCM4"
1189	"ACVRL1"
1190	"PDLIM7"
1191	"SLC8A1"
1192	"TXNRD1"
1193	"TOX3"
1194	"RUNX3"
1195	"GMNN"
1196	"CLDN12"
1197	"KIF15"
1198	"XDH"
1199	"CENPK"
1200	"FKBP9"
1201	"KDELR3"
1202	"POF1B"
1203	"NEGR1"
1204	"CEL"
1205	"FUCA1"
1206	"CTRL"
1207	"MEST"
1208	"RHPN2"
1209	"XBP1"
1210	"SLAMF7"
1211	"LMNA"
1212	"MFSD12"
1213	"CSTA"
1214	"TNXB"
1215	"LAMA2"
1216	"TSPAN3"
1217	"EPHX1"
1218	"RAB31"
1219	"SDC3"
1220	"ABHD17C"
1221	"GADD45B"
1222	"PADI1"
1223	"NCF2"
1224	"KIAA0125"
1225	"ONECUT3"
1226	"HSPA5"
1227	"EGFR"
1228	"TMEM204"
1229	"TIMP2"
1230	"SCARF2"
1231	"CES2"
1232	"HIST1H2AM"
1233	"TUBA1A"
1234	"FAM26F"
1235	"CDKN2B"
1236	"ARHGAP11A"
1237	"SHANK3"
1238	"CDH3"
1239	"H2AFX"
1240	"CMKLR1"
1241	"ITGB2"
1242	"LAMC1"
1243	"VILL"
1244	"ECT2"
1245	"PTK7"
1246	"GPBAR1"
1247	"AGRN"
1248	"HSPA1A"
1249	"GPR56"
1250	"CITED4"
1251	"ASAH1"
1252	"RP11-701P16.5"
1253	"CSF2RA"
1254	"ABCA6"
1255	"ZEB2"
1256	"KLHDC8B"
1257	"SAMHD1"
1258	"S100A10"
1259	"PDLIM2"
1260	"HIST1H2AC"
1261	"MAP3K7CL"
1262	"VASN"
1263	"CD70"
1264	"TSPAN2"
1265	"SH3PXD2A"
1266	"FUT3"
1267	"TNS1"
1268	"TUBB2A"
1269	"CKAP2"
1270	"CRIM1"
1271	"OSCAR"
1272	"ASAP2"
1273	"EHD2"
1274	"ITGA5"
1275	"SCUBE2"
1276	"PDGFC"
1277	"RP11-16E12.2"
1278	"KIAA1522"
1279	"FGR"
1280	"TSPAN15"
1281	"ASF1B"
1282	"EPPK1"
1283	"MCM7"
1284	"ENTPD1"
1285	"ST14"
1286	"TNFSF13B"
1287	"GRB7"
1288	"EPB41L1"
1289	"NCKAP1"
1290	"ZEB1"
1291	"NOSTRIN"
1292	"CDKN1A"
1293	"LY96"
1294	"VWA5A"
1295	"PRDX4"
1296	"SIGLEC10"
1297	"ZNF503"
1298	"GPRC5C"
1299	"TNFSF4"
1300	"ASPH"
1301	"SH2D4A"
1302	"HCK"
1303	"RBPMS"
1304	"C9orf3"
1305	"SPRED1"
1306	"SCIN"
1307	"TMC4"
1308	"NEURL1B"
1309	"CD69"
1310	"CRNDE"
1311	"PTPRK"
1312	"LMO2"
1313	"EFNA5"
1314	"PHLDB1"
1315	"CMPK2"
1316	"CD200"
1317	"PLLP"
1318	"TST"
1319	"TUBB6"
1320	"SUSD2"
1321	"ST6GALNAC1"
1322	"FUT2"
1323	"FANCI"
1324	"ESRP1"
1325	"LAPTM4B"
1326	"TNFSF10"
1327	"ROBO1"
1328	"HGF"
1329	"USH1C"
1330	"CCR1"
1331	"FBLIM1"
1332	"LRRC8A"
1333	"INSIG1"
1334	"NLRP3"
1335	"ZCCHC24"
1336	"OAF"
1337	"MTSS1"
1338	"ANKRD22"
1339	"NCR3"
1340	"BCL2L15"
1341	"TMEM238"
1342	"MYRF"
1343	"TNS3"
1344	"SLC7A7"
1345	"CD302"
1346	"AMY2B"
1347	"MACROD2"
1348	"SRGN"
1349	"HSPA1B"
1350	"HSPH1"
1351	"TNFAIP2"
1352	"HES2"
1353	"YWHAH"
1354	"ISG20"
1355	"ADAM12"
1356	"NOTCH4"
1357	"CCDC50"
1358	"CXorf21"
1359	"CD52"
1360	"PTP4A3"
1361	"DPP4"
1362	"SLC2A3"
1363	"WARS"
1364	"NR1H3"
1365	"S100A4"
1366	"CD81"
1367	"SLC39A14"
1368	"BATF3"
1369	"CIT"
1370	"ORC6"
1371	"CD4"
1372	"PPAP2A"
1373	"EAF2"
1374	"ARL6IP1"
1375	"E2F1"
1376	"TEAD1"
1377	"RAB27B"
1378	"DNAJB9"
1379	"PRDM1"
1380	"PPL"
1381	"GBP1"
1382	"TUBB4B"
1383	"MT-CO2"
1384	"CCR2"
1385	"GPR126"
1386	"LMO4"
1387	"CTSS"
