accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710728_Healthy_PBMC_3.tar.gz"	"GSM4710728_Healthy_PBMC_3.tar.gz"	"gz"	41137829	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE155698"	"extracted"	"06_scRNA/01_raw_data/GSE155698/extracted/GSM4710729_Healthy_PBMC_4.tar.gz"	"GSM4710729_Healthy_PBMC_4.tar.gz"	"gz"	10992722	"NO"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204109_P01_barcodes.tsv.gz"	"GSM6204109_P01_barcodes.tsv.gz"	"gz"	37625	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204109_P01_features.tsv.gz"	"GSM6204109_P01_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204109_P01_matrix.mtx.gz"	"GSM6204109_P01_matrix.mtx.gz"	"gz"	66721292	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204110_P02_barcodes.tsv.gz"	"GSM6204110_P02_barcodes.tsv.gz"	"gz"	28710	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204110_P02_features.tsv.gz"	"GSM6204110_P02_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204110_P02_matrix.mtx.gz"	"GSM6204110_P02_matrix.mtx.gz"	"gz"	54502579	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204111_P03_barcodes.tsv.gz"	"GSM6204111_P03_barcodes.tsv.gz"	"gz"	144188	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204111_P03_features.tsv.gz"	"GSM6204111_P03_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204111_P03_matrix.mtx.gz"	"GSM6204111_P03_matrix.mtx.gz"	"gz"	144842132	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204112_P04_barcodes.tsv.gz"	"GSM6204112_P04_barcodes.tsv.gz"	"gz"	20744	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204112_P04_features.tsv.gz"	"GSM6204112_P04_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204112_P04_matrix.mtx.gz"	"GSM6204112_P04_matrix.mtx.gz"	"gz"	34616044	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204113_P05_barcodes.tsv.gz"	"GSM6204113_P05_barcodes.tsv.gz"	"gz"	93455	"NO"	"YES"	"NO"	"YES"	"NO"
