sample_name	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/barcodes.tsv"	"barcodes.tsv"	"tsv"	18278	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/genes.tsv"	"genes.tsv"	"tsv"	816952	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/matrix.mtx"	"matrix.mtx"	"mtx"	37298930	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	26424	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	30324810	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	19408	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	18168253	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	12992	"NO"	"YES"	"NO"	"YES"	"NO"
