gene	HR	CI_low	CI_high	p.value	statistic	FDR
TNFRSF1B	0.999965028734376	0.999879819803555	1.00005024492663	0.421191489164726	-0.80435585365838	0.964724526130263
POLR2I	0.999274132404588	0.997503059931645	1.00104834942699	0.422390617116221	-0.802280677346493	0.964724526130263
RBX1	1.00009337801327	0.999864926342633	1.00032188188113	0.423092636278424	0.801067385230535	0.964724526130263
SLC4A4	0.999992789481836	0.999974989564705	1.00001058971581	0.427226666732207	-0.793946346881732	0.964724526130263
PHF3	1.00003430346247	0.999949502369946	1.00011911174659	0.427883724487973	0.792818245811502	0.964724526130263
PMP22	1.00001993638132	0.999970152094055	1.00006972314713	0.432531999381007	0.784866237226999	0.964724526130263
PTAFR	0.999941932407674	0.999796550589073	1.00008733536645	0.43376911344623	-0.782758207938583	0.964724526130263
ETV5	1.00008359245784	0.999872963252492	1.00029426603349	0.436685796977425	0.777801918145627	0.964724526130263
KCNMA1	0.999948995061724	0.999820479656295	1.00007752698633	0.436688826269085	-0.777796780442674	0.964724526130263
SERPINE2	0.999970517369511	0.999896122028856	1.00004491824541	0.437343469423026	-0.776686981519315	0.964724526130263
CD38	0.999796494373276	0.999279448727815	1.0003138075477	0.440617767188443	-0.771150438108885	0.964724526130263
PRKAR2B	0.999857283909629	0.999491628202	1.00022307338936	0.444400739974452	-0.764783054433569	0.964724526130263
NME3	0.999921873117481	0.999720732560589	1.0001230541432	0.446548600182892	-0.761181611092514	0.964724526130263
LAMC1	1.00001048765111	0.999983408292273	1.00003756774325	0.447808054956516	0.75907439512562	0.964724526130263
PCDH7	1.00002595831106	0.999958833138975	1.00009308798912	0.448491766936104	0.757931875128905	0.964724526130263
TRIM21	1.00012909490159	0.999792328699652	1.00046597453857	0.452503151256424	0.751248442602922	0.964724526130263
PTPN21	0.999853310747159	0.99946998660981	1.00023678189982	0.453354717259498	-0.749833952428178	0.964724526130263
HPRT1	1.00009537496852	0.999843880734903	1.00034693246137	0.457345206214337	0.743225435777725	0.964724526130263
NIPBL	1.00003520525241	0.999942109061987	1.00012831011024	0.458597364448021	0.741158464205723	0.964724526130263
MAGEE1	0.999393445367135	0.997790308738732	1.00099915773417	0.458849692598125	-0.740742322632751	0.964724526130263
ATP6V0C	0.990828434578176	0.966871426729559	1.0153790458876	0.460621537693541	-0.737823785056248	0.964724526130263
RIPK1	0.999919667095427	0.999706072157703	1.00013330766936	0.461102449059151	-0.737032724467853	0.964724526130263
ATP5PD	0.999950998144921	0.99982050776009	1.00008150556055	0.461766477882905	-0.735941207786539	0.964724526130263
FBLN1	0.999995484551153	0.999983415358975	1.000007553889	0.463390374564291	-0.733275565997933	0.964724526130263
BTG2	1.00001459103824	0.999975496176986	1.00005368742794	0.464478988820068	0.731491509327313	0.964724526130263
PECAM1	0.99998896946001	0.999959203304658	1.00001873650142	0.467657731708724	-0.726295346189797	0.964724526130263
DLG1	1.00004842898725	0.999917072990413	1.00017980223992	0.469938338608135	0.722579382814011	0.964724526130263
PEG3	1.00045829188718	0.999214164441365	1.00170396840341	0.470480986635185	0.721696675265338	0.964724526130263
COX6B1	0.999977938121863	0.999917910402444	1.0000379694449	0.471332660333001	-0.720312418505642	0.964724526130263
ST6GAL1	0.999974275510512	0.999903525811306	1.00004503021572	0.476089767246445	-0.712605726442742	0.964724526130263
MMP1	1.00000149258923	0.999997376887915	1.00000560830748	0.477211674395149	0.710794362818144	0.964724526130263
TCIRG1	0.999977037687603	0.999913721666704	1.00004035771777	0.477224467680775	-0.710773721004594	0.964724526130263
SUPT5H	1.00002173559316	0.999961555651016	1.00008191915706	0.479019951607678	0.707879724823202	0.964724526130263
MGST3	0.999965960385611	0.999870389444251	1.00006154046196	0.485153784590317	-0.698037432797855	0.964724526130263
ACAA1	0.99991666782476	0.999682144354631	1.00015124631364	0.486231867018499	-0.696314543804497	0.964724526130263
FBN1	1.00000425727519	0.999992049710298	1.00001646498911	0.494280483784104	0.683516569349376	0.964724526130263
HSD17B10	0.999931362439501	0.999734483716933	1.0001282799336	0.49447488003097	-0.683208851823785	0.964724526130263
VPS37D	0.999299208153988	0.997290884847419	1.00131157577959	0.494613015491857	-0.68299023103961	0.964724526130263
SDC4	1.0000053375724	0.999989999966497	1.00002067541356	0.495191535160557	0.682074988319055	0.964724526130263
SOD2	1.00000460605537	0.999991355222902	1.00001785706343	0.495687820170627	0.681290299399344	0.964724526130263
TRAFD1	1.00006426955127	0.999877125392315	1.00025144873746	0.500912454709477	0.673054758451005	0.964724526130263
APOD	0.999995629876239	0.999982902889346	1.00000835702511	0.500949801370934	-0.672996053945794	0.964724526130263
SELP	0.999904010356107	0.999623734750094	1.0001843645461	0.502138898613646	-0.671128145055267	0.964724526130263
CTHRC1	1.00001307285067	0.999974699454428	1.00005144771946	0.504323850818128	0.667701972253812	0.964724526130263
GCH1	1.0000655087257	0.999872526414635	1.00025852828368	0.505873780978555	0.665276308382933	0.964724526130263
PRSS2	1.00000011774734	0.999999770454226	1.00000046504058	0.506362524393274	0.664512229374425	0.964724526130263
NDUFA2	0.999804993902121	0.999227627145791	1.00038269426849	0.508148272793652	-0.661723762683064	0.964724526130263
DUT	1.00009679531761	0.999808222322076	1.00038545160349	0.510947682559919	0.65736277284535	0.964724526130263
RASGRP1	1.00016567845609	0.999661408391423	1.00067020289518	0.519679716489381	0.643839192000944	0.964724526130263
NELFB	0.999954687301362	0.999816449762454	1.0000929439534	0.520616733174741	-0.642395018740793	0.964724526130263
SDHA	0.999718148636674	0.998857880776649	1.00057915740369	0.521015829581929	-0.641780319776426	0.964724526130263
APBB2	1.00004199075698	0.999913666739465	1.00017033124297	0.521314494964359	0.641320465966013	0.964724526130263
NCOA3	1.00003734585524	0.999922984535436	1.00015172025456	0.522158569811282	0.6400215799754	0.964724526130263
POLR2J	0.999899203191473	0.999588463994065	1.00021003898748	0.52501277769157	-0.635637413966475	0.964724526130263
AHR	1.00001805544186	0.999962315231613	1.00007379875919	0.525518333445341	0.634862136619212	0.964724526130263
TNFRSF11B	1.00003056460573	0.99993543057381	1.00012570768871	0.528906755191698	0.629675744561901	0.964724526130263
GNG11	0.999936380236517	0.999737476244223	1.000135323802	0.530780275985679	-0.626815356695857	0.964724526130263
RPA3	1.00017054487393	0.999636977195565	1.00070439735015	0.531084142571398	0.626351913591022	0.964724526130263
ELL	0.999841983417888	0.999346661375257	1.00033755096484	0.53193217170282	-0.625059250060705	0.964724526130263
ECHS1	0.999973391368749	0.999889844274051	1.00005694544433	0.532504185658235	-0.624187910224137	0.964724526130263
IL32	1.00001672734794	0.999964139045808	1.00006931841571	0.533010902686416	0.623416431834906	0.964724526130263
MARCHF1	0.999893628445397	0.999559224051835	1.00022814471457	0.533079134431593	-0.623312577121705	0.964724526130263
WIPF1	0.99997660039881	0.999901513565623	1.00005169287058	0.541357747032691	-0.610761103948812	0.964724526130263
CLEC5A	1.00020353631264	0.999550211734743	1.00085728791561	0.541551455189724	0.610468573348785	0.964724526130263
PHB2	0.999986957752968	0.999945062455677	1.00002885480557	0.541774832733362	-0.610131302024396	0.964724526130263
LCP2	0.999947674193293	0.999778272866792	1.00011710422297	0.544953393876929	-0.60533957085117	0.964724526130263
TSPAN7	0.999914227753947	0.999633447167037	1.0001950872075	0.54942910677407	-0.598615815899432	0.964724526130263
ATP5PF	0.999918806396449	0.999651093406114	1.00018659108204	0.552294131593748	-0.59432594081706	0.964724526130263
MMP2	1.0000019108539	0.999995573159871	1.0000082485881	0.554560662927736	0.590939941167928	0.964724526130263
CCSER2	1.00004763949241	0.999889303736851	1.00020600032096	0.555409047248424	0.589674271835707	0.964724526130263
ACVR2A	0.999864217967456	0.999411635029178	1.00031700585764	0.556634887687886	-0.587847157758723	0.964724526130263
PDE4B	0.999916442204671	0.999635236195127	1.00019772731989	0.560378661710623	-0.582279158158318	0.964724526130263
NDUFA1	0.999955535448316	0.999805694158092	1.00010539919532	0.560868703953234	-0.581551671442365	0.964724526130263
NOD2	0.999716658968657	0.998760638811934	1.00067359423407	0.561560353807887	-0.580525413794592	0.964724526130263
MAFB	1.00002422368999	0.999942338513789	1.00010611557176	0.562056366991745	0.579789814669751	0.964724526130263
POLR2H	1.00006406535603	0.999846207676115	1.00028197050521	0.56439767626458	0.576321820971581	0.964724526130263
CAP2	0.99983364579959	0.9992649409294	1.00040267433292	0.566572665696217	-0.573106382935085	0.964724526130263
SNTB1	0.999942203606446	0.999744073669265	1.00014037280915	0.567547572140234	-0.571667033953495	0.964724526130263
CMKLR1	0.99993878683686	0.99972730648682	1.00015031192304	0.570553954896989	-0.567235849178869	0.964724526130263
LAMP3	1.00007758264782	0.999809216968799	1.00034602036071	0.571014598542773	0.566557879792169	0.964724526130263
EIF4E3	1.00009113913731	0.999774509803088	1.00040786874828	0.572688916752571	0.564095828665064	0.964724526130263
ITGBL1	1.00002427973655	0.999939352421136	1.00010921426504	0.575265260988796	0.560314027547824	0.964724526130263
ERCC1	0.999918122167228	0.99963066717125	1.00020565982411	0.576730178010491	-0.558167255946861	0.964724526130263
ALDH1A2	0.999945616261137	0.999753484662512	1.00013778478342	0.579094061546168	-0.554708499606607	0.964724526130263
MATN3	0.999974390169428	0.999883736253268	1.00006505230468	0.579811703188581	-0.553659783693342	0.964724526130263
POLL	0.999879834306187	0.999453683235553	1.00030616708082	0.580593580593726	-0.552517890364517	0.964724526130263
PNP	1.00004153640309	0.999892968659365	1.00019012622156	0.583736393422217	0.547935206632139	0.964724526130263
CSF2RA	0.999903373991851	0.99955772466895	1.00024914284107	0.583839344674288	-0.54778528355062	0.964724526130263
IFNAR1	1.0000292092564	0.999924625738116	1.00013380371322	0.584117648359182	0.547380064551687	0.964724526130263
AGGF1	0.99979916847982	0.999080367887619	1.0005184862219	0.584132551570983	-0.547358367538089	0.964724526130263
RGS4	1.00005555102426	0.999855327467699	1.0002558146761	0.586618428576424	0.54374286814599	0.964724526130263
IL33	0.999950052792394	0.999769883079779	1.00013025497361	0.586933737206623	-0.543284786728081	0.964724526130263
FBLN2	0.999989338321739	0.999950786640414	1.00002789148937	0.587800995382477	-0.542025418594812	0.964724526130263
LAP3	1.00001432683702	0.999962374389878	1.00006628198333	0.588862099590615	0.540485729834188	0.964724526130263
CYC1	0.999973952676119	0.999879437236585	1.0000684770499	0.589121137488402	-0.540110053996658	0.964724526130263
CCL5	0.999965265832177	0.999838172026019	1.00009237579379	0.592230858275056	-0.535606033084581	0.964724526130263
SELE	1.0000731331945	0.999805459231227	1.00034087882107	0.592342698725961	0.53544424970908	0.964724526130263
SP110	1.00005616538085	0.999849141036828	1.00026323259042	0.594937217061729	0.531695055476281	0.964724526130263
GTF2F1	0.999962372766724	0.9998234247078	1.00010134013562	0.59561782773039	-0.5307127811537	0.964724526130263
GLIPR1	0.999945128381132	0.99974233069731	1.00014796720245	0.595941792712693	-0.530245406671989	0.964724526130263
POLD4	1.00015056053764	0.999593066277128	1.00070836572454	0.596657728252628	0.529212958607378	0.964724526130263
RNF144B	0.99993334126354	0.999686364929877	1.00018037861365	0.596867938629262	-0.528909922131108	0.964724526130263
MTMR10	0.999920714507686	0.999625159748465	1.00021635665228	0.599109722877534	-0.525681207662045	0.964724526130263
COX5A	0.999963172480253	0.999825874065725	1.00010048974892	0.599114118649081	-0.525674882073234	0.964724526130263
MDH2	1.00001448789846	0.99996046521767	1.00006851349782	0.599154876834856	0.525616231363523	0.964724526130263
HLA-DRB1	1.0000024410812	0.999993313173874	1.00001156907184	0.600172491428715	0.524152477222518	0.964724526130263
MATN2	0.999979310986444	0.999901817453611	1.00005681052511	0.600807117288255	-0.523240189039644	0.964724526130263
TDRD7	1.00006602945541	0.999817439010664	1.00031468170865	0.602680890286281	0.520549135854316	0.964724526130263
NDUFB1	0.999915239139132	0.999594366476677	1.00023621480263	0.60471378873748	-0.517633808327138	0.964724526130263
TLR1	1.0001219657382	0.999658774334637	1.00058537176128	0.605853046466425	0.516001951164602	0.964724526130263
NAP1L2	0.999668499320484	0.998405366470674	1.0009332302232	0.607273632142593	-0.513969046284292	0.964724526130263
ITGB7	0.999664363473793	0.998384755542118	1.000945611451	0.607478444693319	-0.513676128094307	0.964724526130263
CDH6	1.00005497976348	0.999844836350467	1.00026516734359	0.608129668140277	0.512745055959803	0.964724526130263
ATP6V0B	0.999984266203974	0.999923806588356	1.00004472947524	0.610027188781505	-0.510034647146388	0.964724526130263
UQCRB	0.999976275509735	0.999885106671281	1.0000674526609	0.610048637161281	-0.510004031832929	0.964724526130263
CXCR6	0.999814372015257	0.999100585119884	1.00052866886102	0.610415447317269	-0.509480522748295	0.964724526130263
CYBB	0.999984726627931	0.999925609039043	1.00004384771197	0.612611507699976	-0.506349231568618	0.964724526130263
C1R	0.999996266175807	0.999981789493425	1.00001074306777	0.613201326616547	-0.505509074301438	0.964724526130263
CXCL12	0.999986969567521	0.999936441015398	1.00003750067294	0.613260734870916	-0.505424471036277	0.964724526130263
ETV1	0.999963934348494	0.999822827003623	1.00010506160818	0.616439273897107	-0.50090316649055	0.964724526130263
DPYSL3	0.999993844202484	0.999969650361198	1.00001803862913	0.618005606246393	-0.498678907436351	0.964724526130263
COX17	1.0000803842324	0.999764239415179	1.00039662902073	0.618280041011086	0.49828945249413	0.964724526130263
ATP6AP1	0.999985364784317	0.999927192303915	1.000043540649	0.621958918990958	-0.493075956288044	0.964724526130263
HLA-DMA	0.999981615468591	0.999908070809442	1.00005516553705	0.624187009903541	-0.489924945964832	0.964724526130263
MAGI2	1.00014913641569	0.999549291153886	1.00074934165408	0.626126626146349	0.487185858229591	0.964724526130263
AK1	0.999716311608919	0.998563162584771	1.00087079229913	0.629928154018681	-0.481827975939283	0.964724526130263
MFAP5	0.99998274906104	0.999911784609039	1.00005371854944	0.633766722815867	-0.476431885920094	0.964724526130263
P2RX7	0.999729645111528	0.998615857074229	1.00084467539206	0.634486416252365	-0.475421719988433	0.964724526130263
IL7	1.000306520334	0.999039240911126	1.00157540729847	0.635618225890799	0.473834085669124	0.964724526130263
LATS2	1.00004689999767	0.999852680804242	1.00024115691775	0.636030047567652	0.473256703482196	0.964724526130263
TLR2	0.999956941725107	0.999778532926779	1.00013538236018	0.63622933123302	-0.472977360464162	0.964724526130263
COL3A1	1.00000016533624	0.999999478610766	1.00000085206218	0.637011434812153	0.471881414306082	0.964724526130263
RELN	0.999955833544473	0.999772202200148	1.00013949861695	0.637390162409935	-0.47135091456375	0.964724526130263
KIT	0.999951063382274	0.999746647249403	1.00015552131169	0.63896232088752	-0.469150141280547	0.964724526130263
NDUFA9	0.999893107938333	0.999445277697855	1.00034113884205	0.64000509377903	-0.467691677170181	0.964724526130263
KIF5C	1.00004899034368	0.999843318874846	1.0002547041199	0.640627859127612	0.466821126948675	0.964724526130263
AAAS	0.999904051584664	0.999500365111036	1.00030790110252	0.641409568745372	-0.465728892398624	0.964724526130263
ECM2	1.00005682055633	0.999816513646388	1.00029718522427	0.643084225874293	0.463390864217036	0.964724526130263
POR	0.999983553306755	0.999913937101226	1.00005317435912	0.643351639664427	-0.46301775629678	0.964724526130263
MMD	1.00007016491329	0.999773170100081	1.00036724795244	0.643372796874131	0.462988239544606	0.964724526130263
POLA2	0.999455713410681	0.997143598839764	1.00177318916909	0.644993221648804	-0.460728755524967	0.964724526130263
NDUFA4	0.999979609821261	0.99989261335746	1.00006661385426	0.6459824805526	-0.459350511216459	0.964724526130263
PTGER2	0.999905144593087	0.999497531473699	1.00031292394446	0.648398999413598	-0.455987454856103	0.964724526130263
ACTA2	0.99999502414535	0.99997356162154	1.00001648712981	0.649547786747851	-0.454390502821378	0.964724526130263
HERC6	1.00002968927874	0.999901501866549	1.00015789312457	0.649885166521614	0.453921724746429	0.964724526130263
CBL	1.00004511863727	0.999850102729789	1.00024017258166	0.650245734274867	0.453420837981101	0.964724526130263
CAB39L	0.999908797569429	0.99951354017668	1.00030421126662	0.651171192212405	-0.452135747791638	0.964724526130263
BCAP31	0.999991133595195	0.999952222932048	1.00003004577245	0.655165439851815	-0.44659786161733	0.964724526130263
MYLK	0.999996341383895	0.999980124495809	1.00001255853497	0.658363376336116	-0.442173893027659	0.964724526130263
ATP6V0E1	0.999985733530385	0.999922042395223	1.00004942872242	0.660658483263964	-0.439004213520242	0.964724526130263
SLC28A2	0.99987152584618	0.999297733655204	1.00044564750601	0.660886945692969	-0.438688935048302	0.964724526130263
POLD1	0.999888853957446	0.999392086680061	1.00038586816267	0.661106204174363	-0.438386399038031	0.964724526130263
GPNMB	0.999996339127869	0.999979909150173	1.00001276937551	0.662323005212883	-0.436708167512622	0.964724526130263
MMP3	1.00000671892805	0.99997655480757	1.00003688395843	0.662424364453655	0.436568426765428	0.964724526130263
RAF1	1.00005596174979	0.999803196458311	1.00030879094414	0.664368642065139	0.433889558990425	0.964724526130263
CD74	0.999999396194821	0.999996660731738	1.00000213166539	0.665285972563446	-0.432626722648915	0.964724526130263
SPARCL1	0.99999691751825	0.999982901659875	1.00001093357307	0.666433788816149	-0.431047560656015	0.964724526130263
TNFAIP3	0.999981411570059	0.99989632427385	1.00006650610687	0.668536451352031	-0.428157506558656	0.964724526130263
RNF213	1.00000714943202	0.999974332512104	1.00003996742892	0.669387658843048	0.426988561843367	0.964724526130263
NFKB1	0.999976680636274	0.99986906320444	1.00008430965114	0.67107572547283	-0.424672099571662	0.964724526130263
ST8SIA4	0.999930924197575	0.99961197887265	1.00024997128811	0.671275445059352	-0.424398183784284	0.964724526130263
