gene_symbol_std	gene_symbol	contrast	pathway_id	pathway_label	NES	p_adjust	logFC	adj.P.Val	t	is_mcd_gene	death_type	tier
MXRA5	MXRA5	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.12756910104302	0.00739771120301517	3.20422965566603	FALSE		
SPOCK1	SPOCK1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.12354380530161	0.00296625374727152	3.54366498321375	FALSE		
NOTCH2	NOTCH2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.10770570238122	9.93758575458457e-06	5.29467822911614	FALSE		
MFAP5	MFAP5	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.08867646984847	0.0437749475181077	2.45140474907869	FALSE		
COL12A1	COL12A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.07982293455304	0.00932245308187741	3.11249380258343	FALSE		
CDH11	CDH11	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.07680117347171	0.00445390421778603	3.39778273258771	FALSE		
SFRP4	SFRP4	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.05638744449	0.0235540844467177	2.73114746386684	FALSE		
COL6A3	COL6A3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.03389625158242	0.0077258484926406	3.18688078883725	FALSE		
ADAM12	ADAM12	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.02911783906842	0.0438246160745865	2.45079692185589	FALSE		
COL5A2	COL5A2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.02615502957463	0.00523461689259779	3.33706363664614	FALSE		
SPP1	SPP1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	1.002424882572	0.0395966710710831	2.49825495160907	FALSE		
WNT5A	WNT5A	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.98989364465152	0.00468917412840985	3.37901030310269	FALSE		
FAP	FAP	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.969727385670208	0.0186696256087493	2.83079521916373	FALSE		
CALD1	CALD1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.968296229436362	0.000243303601702083	4.36298428896915	FALSE		
COL3A1	COL3A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.968285189965755	0.0193243448004862	2.81581005721071	FALSE		
ITGAV	ITGAV	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.959777511816574	1.55594305573891e-06	5.78096084316419	FALSE		
NTM	NTM	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.925003772587549	0.00945636153608911	3.10633852552201	FALSE		
MMP2	MMP2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.898587285322424	0.0278249634589982	2.65777570505191	FALSE		
MATN3	MATN3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	0.88375225521501	0.0785264747960908	2.15379759838358	FALSE		
