gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
GTF3C5	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	GTF3C5	GTF3C5	-0.305786111351392	0.00198880285764876	-3.68541446435155	GTF3C5	negative_pathway	0.305786111351392
GTF2F1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	GTF2F1	GTF2F1	-0.297725092124794	0.000876555067335912	-3.96129576194153	GTF2F1	negative_pathway	0.297725092124794
POLR2H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR2H	POLR2H	-0.293376722120655	0.0206470949242439	-2.78801954911071	POLR2H	negative_pathway	0.293376722120655
ELL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ELL	ELL	-0.291111823991711	0.00113284849927791	-3.87517116162914	ELL	negative_pathway	0.291111823991711
RAD52	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	RAD52	RAD52	-0.279193150071324	0.0923571622567036	-2.06789393292871	RAD52	negative_pathway	0.279193150071324
POLR1H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR1H	POLR1H	-0.273707008385601	0.0605358650178132	-2.29145740220919	POLR1H	negative_pathway	0.273707008385601
APRT	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	APRT	APRT	-0.269798877603945	0.0787633063323889	-2.15175583181969	APRT	negative_pathway	0.269798877603945
ERCC1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ERCC1	ERCC1	-0.269070211451083	0.00885159365238128	-3.13335258206446	ERCC1	negative_pathway	0.269070211451083
ALYREF	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ALYREF	ALYREF	-0.266161691631833	0.0647020011060525	-2.25620103628641	ALYREF	negative_pathway	0.266161691631833
SRSF6	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	SRSF6	SRSF6	-0.265934485486746	0.00503781786170546	-3.35228024040671	SRSF6	negative_pathway	0.265934485486746
ERCC2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	ERCC2	ERCC2	-0.262726650107245	0.0184736745994848	-2.835314689283	ERCC2	negative_pathway	0.262726650107245
BCAP31	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	BCAP31	BCAP31	-0.253797535877159	0.0367269399824322	-2.53395797166712	BCAP31	negative_pathway	0.253797535877159
POLR2F	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR2F	POLR2F	-0.253011271230813	0.061996113338732	-2.27835513094239	POLR2F	negative_pathway	0.253011271230813
DDB2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	DDB2	DDB2	-0.250732387446631	0.0302479581243421	-2.62180968507742	DDB2	negative_pathway	0.250732387446631
