gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
POLR3GL	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR3GL	POLR3GL	-0.283442174164669	0.000172745662865217	-4.18247707946925	POLR3GL	negative_pathway	0.283442174164669
SURF1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	SURF1	SURF1	-0.280842074729564	0.00146236468242004	-3.54532243928322	SURF1	negative_pathway	0.280842074729564
GTF2F1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	GTF2F1	GTF2F1	-0.279790878324192	2.07245705817702e-05	-4.74779203408343	GTF2F1	negative_pathway	0.279790878324192
DUT	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	DUT	DUT	-0.272551889060036	0.000392257928313788	-3.94670705716958	DUT	negative_pathway	0.272551889060036
POLR1C	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	POLR1C	POLR1C	-0.267854642910656	0.00100281677651003	-3.66502914487769	POLR1C	negative_pathway	0.267854642910656
HPRT1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	HPRT1	HPRT1	-0.241514831345695	0.00612067560433391	-3.06529579871602	HPRT1	negative_pathway	0.241514831345695
RAE1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	RAE1	RAE1	-0.236269460964895	0.0013536015314314	-3.5700398342561	RAE1	negative_pathway	0.236269460964895
ERCC1	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ERCC1	ERCC1	-0.231228781403661	0.00164637926639811	-3.50738934096632	ERCC1	negative_pathway	0.231228781403661
GTF2A2	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	GTF2A2	GTF2A2	-0.213020795883791	0.0024263794225706	-3.38189527036267	GTF2A2	negative_pathway	0.213020795883791
ELL	high_vs_intermediate	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-2.18663435470751	2.03696395355408e-08	ELL	ELL	-0.207115423450037	0.00104209643799067	-3.65293512708199	ELL	negative_pathway	0.207115423450037
PRSS2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	PRSS2	PRSS2	1.84254657727719	0.0603526765535736	2.13174360142609	PRSS2	positive_pathway	1.84254657727719
SLIT2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SLIT2	SLIT2	1.50930737985882	6.40755938862584e-13	8.39690074668398	SLIT2	positive_pathway	1.50930737985882
SFRP1	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SFRP1	SFRP1	1.48534957316721	3.21677118190051e-05	4.63281250834108	SFRP1	positive_pathway	1.48534957316721
LAMA2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	LAMA2	LAMA2	1.46623575934351	7.94708878462964e-11	7.46770478377671	LAMA2	positive_pathway	1.46623575934351
FBN1	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	FBN1	FBN1	1.43148547264149	2.52314735953953e-08	6.29471331576658	FBN1	positive_pathway	1.43148547264149
GREM1	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	GREM1	GREM1	1.42812164684779	0.000863087755260672	3.71153409616589	GREM1	positive_pathway	1.42812164684779
MYLK	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	MYLK	MYLK	1.41488219737576	1.97926156814436e-08	6.34541871537188	MYLK	positive_pathway	1.41488219737576
ABI3BP	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	ABI3BP	ABI3BP	1.4033089422517	4.28235340666835e-09	6.66350401577947	ABI3BP	positive_pathway	1.4033089422517
PTX3	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	PTX3	PTX3	1.36432272234797	0.000284593116681894	4.04027331282953	PTX3	positive_pathway	1.36432272234797
THBS1	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	THBS1	THBS1	1.36354935122598	3.46719294620822e-06	5.19109001906214	THBS1	positive_pathway	1.36354935122598
SGCD	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SGCD	SGCD	1.34150499559649	1.87156409267378e-10	7.29983675942397	SGCD	positive_pathway	1.34150499559649
THBS2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	THBS2	THBS2	1.3400136195953	0.000228466997911141	4.10422672331546	THBS2	positive_pathway	1.3400136195953
SLIT3	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SLIT3	SLIT3	1.31889941481591	6.35247769242603e-08	6.09669016877539	SLIT3	positive_pathway	1.31889941481591
TGFBR3	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	TGFBR3	TGFBR3	1.20208068434987	2.0199282758047e-11	7.73496418760363	TGFBR3	positive_pathway	1.20208068434987
CXCL12	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	CXCL12	CXCL12	1.18049961974878	1.20627353761895e-05	4.88390182730797	CXCL12	positive_pathway	1.18049961974878
VCAN	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	VCAN	VCAN	1.12979949655181	0.000124042703032179	4.27439704168559	VCAN	positive_pathway	1.12979949655181
ECM2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	ECM2	ECM2	1.12906998597122	1.4360134906094e-10	7.35244801883062	ECM2	positive_pathway	1.12906998597122
