ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1905330	regulation of morphogenesis of an epithelium	8/458	65/15041	0.123076923076923	4.04192139737991	4.35551957210262	0.00076598583425958	0.0353903693185885	0.0308698050498598	LGR4/HGF/CXCL10/ADAMTS12/FGF7/SULF1/WNT2/GREM1	8
GO:0071674	mononuclear cell migration	16/458	213/15041	0.0751173708920188	2.46690038337741	3.82104677723778	0.000833035511875841	0.037402055104205	0.0326245295474913	CXCL11/GCSAML/CCR1/C3AR1/CXCL10/CCR2/SLAMF8/CCR5/FPR2/CXCR2/TNFRSF11A/TNFSF18/PLA2G7/GREM1/S100A14/ADTRP	16
GO:0045670	regulation of osteoclast differentiation	8/458	66/15041	0.121212121212121	3.98068016408628	4.30068019438115	0.00084888367940457	0.037402055104205	0.0326245295474913	TLR3/NOTCH2/MITF/CCR1/FBN1/TNFRSF11A/TNFRSF11B/CLDN18	8
GO:0051965	positive regulation of synapse assembly	8/458	66/15041	0.121212121212121	3.98068016408628	4.30068019438115	0.00084888367940457	0.037402055104205	0.0326245295474913	IL1RAP/SLITRK3/THBS2/FLRT2/FLRT3/LRRTM3/LRRN1/ST8SIA2	8
GO:0046849	bone remodeling	9/458	82/15041	0.109756097560976	3.60445734370007	4.19088856530769	0.000850920306819715	0.037402055104205	0.0326245295474913	NOTCH2/LGR4/P2RX7/MITF/TNFRSF11A/CLDN18/GREM1/SIGLEC15/SPP1	9
GO:0001819	positive regulation of cytokine production	28/458	483/15041	0.0579710144927536	1.90380355673692	3.57791462333477	0.000877843098891523	0.037402055104205	0.0326245295474913	ZBTB20/TLR3/TLR8/TLR1/TLR7/P2RX7/F2R/HGF/OAS3/KIT/C3AR1/FCGR3A/CCR2/INAVA/GBP5/IL1RAP/CYBB/OAS2/RSAD2/HTR2B/PTPRC/SIGLEC1/SULF1/REG3A/EREG/VTCN1/HHLA2/GATA4	28
GO:0002688	regulation of leukocyte chemotaxis	11/458	117/15041	0.094017094017094	3.08757884522077	4.0172274088014	0.000882229509809253	0.037402055104205	0.0326245295474913	CCR1/C3AR1/CXCL10/CCR2/SLAMF8/FPR2/TNFSF18/PLA2G7/GREM1/CXCL8/S100A14	11
GO:0050678	regulation of epithelial cell proliferation	22/458	344/15041	0.063953488372093	2.10027165634203	3.6584575388511	0.000884091670114207	0.037402055104205	0.0326245295474913	PTPRK/NOTCH2/FGFR2/TGFA/SERPINB5/CLDN1/HTR2B/EPPK1/LRG1/FGF7/ODAM/SULF1/OVOL1/SFN/WNT2/HMGA2/REG3A/PKHD1/REG3G/EREG/GHSR/ALDH1A2	22
GO:0070493	thrombin-activated receptor signaling pathway	4/458	15/15041	0.266666666666667	8.75749636098981	5.3269514304917	0.000886624341558066	0.037402055104205	0.0326245295474913	F2RL2/F2R/IQGAP2/MET	4
GO:0070633	transepithelial transport	6/458	38/15041	0.157894736842105	5.18535968742818	4.5779258063585	0.000930826113170847	0.0388444746797426	0.0338827026593938	SLC1A3/CLDN18/SLC5A1/SLC1A1/SLC9A4/CFTR	6
GO:0060688	regulation of morphogenesis of a branching structure	7/458	52/15041	0.134615384615385	4.42085152838428	4.37907906596277	0.000948263439772761	0.0391511745718945	0.0341502264536304	LGR4/HGF/FGFR2/FGF7/SULF1/WNT2/GREM1	7
GO:0007160	cell-matrix adhesion	17/458	237/15041	0.0717299578059072	2.35565566672194	3.727925698417	0.000971353506315557	0.0396823469264282	0.0346135498760203	PTPRK/ADAM9/EPHA3/PPFIA2/SVEP1/CCL28/ITGBL1/ADAMTS12/ONECUT2/ACER2/CDH11/ITGB6/SIGLEC1/CEACAM6/GREM1/ONECUT1/PKHD1	17
GO:0019058	viral life cycle	19/458	281/15041	0.0676156583629893	2.22053955772429	3.66011777167355	0.00101838092505848	0.0411701705224163	0.0359113273573254	OAS3/GBP5/CCR5/CXCR6/OAS2/RSAD2/NR5A2/CLDN1/ANPEP/ACE2/ITGB6/SIGLEC1/TMPRSS4/OASL/HAVCR1/HMGA2/CR1/NECTIN4/CXCL8	19
GO:0071675	regulation of mononuclear cell migration	12/458	138/15041	0.0869565217391304	2.85570533510537	3.88101148590004	0.00104602226695881	0.0418516744130633	0.0365057798213731	GCSAML/CCR1/C3AR1/CXCL10/CCR2/SLAMF8/FPR2/TNFSF18/PLA2G7/GREM1/S100A14/ADTRP	12
GO:0043269	regulation of monoatomic ion transport	24/458	395/15041	0.0607594936708861	1.99537891769388	3.55271762247155	0.00107078462265198	0.0420327815336646	0.0366637533495886	CXCL11/P2RX7/F2R/CTSS/CCR1/CXCL10/CXCL9/CD84/SCN2B/MYLK/P2RY1/KCNE3/CA2/GRIN2A/KCNJ5/NKAIN3/KCNS1/LPAR3/NOS1/KCNJ15/PRSS8/CFTR/BEST3/CASR	24
GO:0032728	positive regulation of interferon-beta production	6/458	39/15041	0.153846153846154	5.05240174672489	4.49059032217582	0.00107220957790075	0.0420327815336646	0.0366637533495886	ZBTB20/TLR3/TLR8/TLR7/OAS3/OAS2	6
GO:0001889	liver development	12/458	139/15041	0.0863309352517986	2.83516069240677	3.85205463519546	0.00111410534041965	0.0429862104365113	0.0374953966730822	NOTCH2/HGF/MET/TGFA/CLDN1/ONECUT2/HNF1B/E2F8/E2F7/UGT1A10/ONECUT1/ALDH1A2	12
GO:0002685	regulation of leukocyte migration	16/458	219/15041	0.0730593607305936	2.39931407150406	3.69672439626771	0.00111868262151189	0.0429862104365113	0.0374953966730822	KITLG/GCSAML/CCR1/C3AR1/CXCL10/CCR2/SLAMF8/FPR2/CCL28/TNFSF18/PLA2G7/CHST4/GREM1/CXCL8/S100A14/ADTRP	16
GO:0072531	pyrimidine-containing compound transmembrane transport	4/458	16/15041	0.25	8.21015283842795	5.11364342186076	0.00115392773050398	0.043479548758116	0.0379257187664875	AQP9/SLC28A3/SLC28A2/SLC19A3	4
GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential	4/458	16/15041	0.25	8.21015283842795	5.11364342186076	0.00115392773050398	0.043479548758116	0.0379257187664875	SCN2B/KCNE3/KCNJ5/NOS1	4
GO:1990266	neutrophil migration	10/458	103/15041	0.0970873786407767	3.18840886929241	3.94942681269792	0.00116964022543513	0.0436478241818627	0.0380724996457426	C3AR1/CXCL10/CXCL9/SLAMF8/CXCR2/CCL28/CXCL5/GP2/CXCL8/CXCL6	10
GO:0097530	granulocyte migration	12/458	140/15041	0.0857142857142857	2.81490954460387	3.82335403171945	0.0011858265431541	0.0438304077522007	0.038231761030412	C3AR1/CXCL10/CXCL9/SLAMF8/CXCR2/CCL28/TNFSF18/CXCL5/GP2/CXCL8/S100A14/CXCL6	12
GO:0001934	positive regulation of protein phosphorylation	16/458	222/15041	0.0720720720720721	2.36689090837562	3.63608571374686	0.00129011925818384	0.0472354041604855	0.0412018225850965	TLR3/ANGPT1/KIT/TNFSF15/DDR2/FBN1/TNFSF18/KIF14/FGF7/ODAM/PTPRC/MST1R/HMGA2/ITLN1/IL31RA/EREG	16
GO:0001541	ovarian follicle development	7/458	55/15041	0.127272727272727	4.17971417229059	4.18658374033612	0.00133010689375881	0.0481811307059412	0.0420267474064761	KITLG/KIT/BMPR1B/NR5A2/INHBA/DMRTA1/EREG	7
GO:0061008	hepaticobiliary system development	12/458	142/15041	0.0845070422535211	2.77526293129959	3.76670419858248	0.00134077869524392	0.0481811307059412	0.0420267474064761	NOTCH2/HGF/MET/TGFA/CLDN1/ONECUT2/HNF1B/E2F8/E2F7/UGT1A10/ONECUT1/ALDH1A2	12
GO:0035725	sodium ion transmembrane transport	13/458	162/15041	0.0802469135802469	2.63535770122379	3.70865654052734	0.00138060467248152	0.0484892374763034	0.0422954983723109	P2RX7/SCN2B/SLC6A20/SLC4A4/SLC28A3/GRIN2A/SLC5A1/SCN7A/SLC34A2/NOS1/SLC9A4/SLC9A2/SLC6A14	13
GO:0032496	response to lipopolysaccharide	20/458	311/15041	0.0643086816720257	2.11193642146057	3.51149452889368	0.00139741947329765	0.0484892374763034	0.0422954983723109	ADAM9/P2RX7/F2R/FGFR2/CXCL10/CXCL9/GBP5/CCR5/CCL28/CMPK2/TNFRSF11A/CLDN1/FCAR/CXCL5/FMO1/NOS1/CXCL8/S100A14/GHSR/CXCL6	20
GO:0031069	hair follicle morphogenesis	5/458	28/15041	0.178571428571429	5.86439488459139	4.56569941070495	0.0014099442289598	0.0484892374763034	0.0422954983723109	FGFR2/IGFBP5/FGF7/FOXQ1/PLA2G10	5
GO:0001942	hair follicle development	9/458	88/15041	0.102272727272727	3.3586988884478	3.93262821732178	0.00141353750745111	0.0484892374763034	0.0422954983723109	LGR4/FGFR2/IGFBP5/INHBA/FGF7/FOXQ1/DKK1/LGR5/PLA2G10	9
GO:0032635	interleukin-6 production	12/458	143/15041	0.0839160839160839	2.75585549821358	3.7387465463977	0.00142431668958995	0.0484892374763034	0.0422954983723109	ZBTB20/TLR3/TLR8/TLR1/TLR7/P2RX7/F2R/HGF/INAVA/IL1RAP/EREG/GHSR	12
GO:0032675	regulation of interleukin-6 production	12/458	143/15041	0.0839160839160839	2.75585549821358	3.7387465463977	0.00142431668958995	0.0484892374763034	0.0422954983723109	ZBTB20/TLR3/TLR8/TLR1/TLR7/P2RX7/F2R/HGF/INAVA/IL1RAP/EREG/GHSR	12
