ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	36	0.421731506322857	1.58884066241894	0.0203714663187189	0.0407429326374378	0.017154919005237	6845	tags=50%, list=30%, signal=35%	NF1/OPHN1/PTCH1/NRP1/UNC5C/NRCAM/GLI1/CNTFR/AMOT/RTN1/SCG2/RASA1/VLDLR/NRP2/CDK6/CRMP1/DPYSL2/THY1
HALLMARK_COAGULATION	HALLMARK_COAGULATION	130	0.287731392308859	1.37893167382304	0.023291211414836	0.0447907911823769	0.0188592804978429	6599	tags=36%, list=29%, signal=26%	CTSO/F8/GNG12/FBN1/A2M/VWF/LAMP2/P2RY1/PROS1/PECAM1/PLEK/THBS1/F2RL2/CFH/LRP1/CPQ/KLF7/C1S/DPP4/FYN/PRSS23/TIMP3/ACOX2/F11/SPARC/GDA/CLU/ADAM9/RGN/MASP2/C1R/SERPING1/SERPINE1/MMP2/MEP1A/THBD/OLR1/TFPI2/MMP3/F10/FN1/CTSK/DCT/ITGB3/ITGA2/C3/C1QA
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	107	0.296805494802795	1.37127097122675	0.0269090303487869	0.0498315376829386	0.0209817000770268	4681	tags=27%, list=20%, signal=22%	AR/ABCD2/CYP7B1/ABCA1/ABCA8/GCLM/ATXN1/NEDD4/PEX12/ABCA6/CYP39A1/NR3C2/CAT/HSD17B4/SLC23A2/ABCA9/PNPLA8/ISOC1/FADS1/GC/DIO2/ABCD3/ALDH9A1/BMP6/LONP2/ALDH1A1/CH25H/CROT/ACSL1
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	34	0.404950012443509	1.50614157346612	0.0334466566495638	0.0597261725885068	0.0251478621425292	7615	tags=65%, list=33%, signal=43%	NRP1/ITGAV/FGFR1/FSTL1/VCAN/LUM/KCNJ8/LPL/SLCO2A1/COL5A2/APP/COL3A1/STC1/THBD/OLR1/APOH/CCND2/POSTN/PTK2/JAG1/CXCL6/SPP1
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	192	0.260797226047228	1.31085813291472	0.0351082658311039	0.0605314928122482	0.0254869443419992	5170	tags=29%, list=22%, signal=23%	NEGR1/ITGA9/SLIT2/ARHGEF6/JAM3/NF1/AKT3/NEXN/PTPRC/EPB41L2/PTEN/FBN1/CNTN1/FYB1/VWF/PECAM1/CD209/MYH10/ITGB1/ADAM23/MAP3K20/CD274/ADAMTS5/SGCE/CD86/AMIGO1/CDH6/CD34/NECTIN3/VCAN/TJP1/NLGN3/CADM3/SIRPA/PARVA/CDH8/NFASC/CLDN11/PIK3R3/MSN/DLG1/MAPK14/GNAI1/SDC3/LAYN/VCL/CADM2/CDH11/PIK3CB/RASA1/EGFR/WASL/RSU1/VCAM1/ADAM9/PARD6G
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	48	-0.37547769675561	-1.45209181732131	0.0403707986338332	0.067284664389722	0.0283303850061987	5861	tags=48%, list=25%, signal=36%	PRDX2/MSRA/GLRX2/PFKP/SOD1/PRDX6/HMOX2/NDUFS2/SELENOS/G6PD/TXN/PTPA/NDUFB4/EGLN2/LAMTOR5/SBNO2/ERCC2/JUNB/CDKN2D/TXNRD2/ATOX1/STK25/GPX4
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	-0.310584546596968	-1.31714684463518	0.0863970588235294	0.134995404411765	0.0568401702786378	6683	tags=39%, list=29%, signal=28%	FDFT1/STX5/LGALS3/PLAUR/ACAT2/CHKA/TRIB3/FASN/PPARG/ALDOC/TNFRSF12A/DHCR7/LSS/ACSS2/GUSB/FDPS/S100A11/NSDHL/HSD17B7/ACTG1/TM7SF2/ETHE1/MVK/SEMA3B/PMVK/ECH1/EBP/PCYT2/MVD
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	154	-0.25877222133002	-1.23346363159193	0.0855148342059337	0.134995404411765	0.0568401702786378	5129	tags=29%, list=22%, signal=22%	SIGMAR1/UROD/KLHDC3/ENO2/CTSV/HLA-F/PARP2/FEN1/TST/SPR/HYAL2/BAK1/RXRB/DNAJB1/CDKN1C/ACAA1/SLC6A8/RPN1/YKT6/CCNE1/APOM/RFC4/SELENOW/GRINA/TUBA4A/WIZ/POLG2/BID/ATP6V1F/PSMC3/STARD3/JUNB/DGAT1/PRPF3/ALDOA/PDAP1/CLTB/STK25/MRPL23/AP2S1/BSG/POLR2H/CDC34/H2AX
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	103	0.267291705924514	1.23052422678466	0.11283185840708	0.170957361222848	0.0719820468306728	3360	tags=27%, list=15%, signal=23%	ITPR2/PIKFYVE/PLCB1/PRKAR2A/PTPN11/ATF1/RPS6KA3/PTEN/MAPK1/PRKCB/SMAD2/FASLG/CAMK4/TIAM1/ACTR2/MAP3K7/CLTC/GSK3B/SLA/EIF4E/RAF1/CAB39L/PLA2G12A/MAPK8/VAV3/TBK1/PPP2R1B/MAPK9
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	181	0.236528864857164	1.17703665859584	0.120283018867925	0.17688679245283	0.0744786494538233	5777	tags=31%, list=25%, signal=23%	AGL/MEF2C/LAMA2/SGCD/MEF2A/DMD/MYLK/SORBS1/FHL1/ADCY9/NOS1/RB1/FGF2/CD36/PRNP/ITGB1/WWTR1/SSPN/DTNA/COL15A1/IGF1/MRAS/CNN3/GNAO1/SVIL/COL6A3/CDH13/COL4A2/IGFBP7/HSPB8/PTGIS/MYH11/REEP1/PYGM/GPX3/LDB3/APP/SPARC/COL3A1/ACSL1/GJA5/CLU/ADAM12/APOD/KCNH1/CASQ2/BDKRB2/MYL3/NCAM1/PFKM/TAGLN/LARGE1/PDE4DIP/PPP1R3C/CRYAB/APLNR
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	174	0.226945794738984	1.13087798080224	0.172413793103448	0.246305418719212	0.103707544723879	7345	tags=36%, list=32%, signal=25%	SELENOP/PTGFR/RYR2/NOS1/DCC/ENTPD7/CCR8/SLC16A7/CYP39A1/TENT5C/KMT2D/CAMK1D/PRKN/BMPR1B/EPHA5/CD40LG/MEFV/NUDT11/ZBTB16/TEX15/CPEB3/ASB7/SGK1/YPEL1/CCNA1/TENM2/CNTFR/SNN/CELSR2/SYNPO/SKIL/SIDT1/TGFB2/THRB/CPB1/BTG2/GP2/ZNF112/IFNG/KCNMB1/CD80/SOX10/CPA2/PCDHB1/C5/CLPS/PDK2/MYH7/EGF/PDCD1/SERPINA10/GDNF/PTPRJ/CDKAL1/MFSD6/PLAG1/CALCB/TCL1A/ARHGDIG/EFHD1/EDN1/CLDN16
